Contacts between Entity1 with id vis_sat_1_1 with Entity2 with id sar_sat_2_0
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
start index,end index
22,125
318,422
615,718
911,1015
1208,1311
1504,1608
1801,1904
2097,2201
2393,2497
2690,2794
2986,3090
3283,3387
3579,3683
3876,3980
4172,4276
4469,4573
4765,4869
5062,5165
5358,5462
5655,5758
5951,6055
6248,6351
6544,6648
6840,6944
7137,7241
7433,7537
7730,7833
8026,8130
8323,8426
8619,8640
