Contacts between Entity1 with id sar_sat_1_0 with Entity2 with id sar_sat_2_0
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
start index,end index
116,182
412,477
709,775
1005,1070
1302,1368
1598,1663
1895,1961
2191,2256
2488,2554
2784,2849
3081,3147
3377,3442
3674,3739
3969,4035
4267,4332
4562,4628
4860,4925
5155,5221
5453,5518
5748,5814
6046,6111
6341,6407
6639,6704
6934,7000
7232,7297
7527,7593
7825,7890
8120,8186
8418,8483
