routine,t_avg,t_std,t_med,n
check_action_statuses,0.011,0.042,0.0,12545
update_state,0.0,0.002,0.0,12545
sense_environment,0.808,0.575,0.659,12544
update_state_environment,0.014,0.043,0.0,12544
get_environment_broadcasts,0.007,0.032,0.0,12544
get_agent_broadcasts,0.105,0.186,0.0,12544
sense,0.945,0.635,0.812,12544
think,0.744,1.215,0.51,12544
perform_broadcast,0.012,0.033,0.0,1230
do,0.494,2.556,0.312,12544
perform_wait_for_messages,0.477,2.686,0.278,11314
perform_state_change,0.45,0.461,0.318,1630
perform_observation,0.633,0.492,0.513,1200
