routine,t_avg,t_std,t_med,n,t_total
ENVIRONMENT_wait,-1.0,0.0,-1.0,0,0.0
vis_sat_0_0_wait,0.201,0.148,0.166,1005,202.00500000000002
therm_sat_0_0_wait,0.198,0.148,0.164,1005,198.99
sar_sat_0_0_wait,0.198,0.147,0.163,1005,198.99
vis_sat_0_1_wait,0.201,0.15,0.164,1005,202.00500000000002
vis_sat_1_0_wait,0.202,0.147,0.167,1005,203.01000000000002
therm_sat_1_0_wait,0.201,0.142,0.167,1005,202.00500000000002
sar_sat_1_0_wait,0.2,0.147,0.165,1005,201.0
vis_sat_1_1_wait,0.203,0.147,0.167,1005,204.01500000000001
clock_wait,0.235,0.156,0.191,1005,236.17499999999998
sim_runtime,236.632,0.0,236.632,1,236.632
sim_wait,236.633,0.0,236.633,1,236.633
_execute,236.643,0.0,236.643,1,236.643
