routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,3e-05,0.0,3e-05,1,3e-05
__check_action_completion,6e-05,0.0,6e-05,1,6e-05
update_action_completion,7e-05,0.0,7e-05,1,7e-05
preplanner/update_percepts,0.00011,0.0,0.00011,1,0.00011
preplanner/needs_planning,1e-05,0.0,1e-05,1,1e-05
preplanner/calculate_access_opportunities,0.31835,0.0,0.31835,1,0.31835
preplanner/_schedule_observations,0.98402,0.0,0.98402,1,0.98402
preplanner/is_observation_path_valid,0.00252,0.0,0.00252,1,0.00252
preplanner/_create_broadcast_path,0.01861,0.0,0.01861,1,0.01861
preplanner/_schedule_broadcasts,0.77858,0.0,0.77858,1,0.77858
reward_grid/update,0.0,0.0,0.0,2,0.0
reward_grid/get_history,0.00155,0.0,0.00155,1,0.00155
