plan_index,t_plan,instrument,t_img
19,1900.0,visual,1910.0
19,1900.0,visual,1930.0
19,1900.0,visual,1990.0
38,3800.0,visual,3860.0
38,3800.0,visual,3880.0
159,15900.0,visual,15990.0
159,15900.0,visual,16000.0
236,23600.0,visual,23670.0
236,23600.0,visual,23680.0
343,34300.0,visual,34350.0
343,34300.0,visual,34360.0
492,49200.0,visual,49240.0
492,49200.0,visual,49270.0
521,52000.0,visual,52060.0
521,52000.0,visual,52070.0
525,52400.0,visual,52450.0
525,52400.0,visual,52470.0
603,60200.0,visual,60230.0
603,60200.0,visual,60250.0
690,68900.0,visual,68980.0
690,68900.0,visual,68990.0
