routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.002,0.006,0.0,160
__check_action_completion,0.0,0.0,0.0,160
preplanner/__get_new_requests,0.0,0.0,0.0,160
preplanner/__update_performed_requests,0.001,0.004,0.0,160
preplanner/_update_access_times,0.01,0.129,0.0,160
preplanner/needs_planning,0.0,0.0,0.0,160
preplanner/_get_available_requests,0.0,0.0,0.0,1
preplanner/_schedule_measurements,0.271,0.0,0.271,1
preplanner/_schedule_broadcasts,0.054,0.051,0.054,2
preplanner/_schedule_maneuvers,0.086,0.0,0.086,1
preplanner/__schedule_periodic_replan,0.039,0.0,0.039,1
preplanner/generate_plan,0.559,0.0,0.559,1
replanner/__get_new_requests,0.0,0.0,0.0,160
replanner/__update_performed_requests,0.0,0.001,0.0,160
replanner/_update_access_times,0.032,0.172,0.0,160
replanner/_schedule_measurements,0.437,0.637,0.128,5
replanner/_schedule_broadcasts,0.029,0.028,0.022,10
replanner/_schedule_maneuvers,0.028,0.015,0.03,5
