t_msg,Sender,Message Type
0.0,therm_sat_0_0,PLAN
0.0,vis_sat_0_0,PLAN
0.0,vis_sat_0_1,PLAN
0.0,sar_sat_0_0,PLAN
670.0,vis_sat_0_0,OBSERVATION_PERFORMED
689.9999999999999,vis_sat_0_0,OBSERVATION_PERFORMED
700.0,vis_sat_0_0,OBSERVATION_PERFORMED
710.0,vis_sat_0_0,OBSERVATION_PERFORMED
720.0,vis_sat_0_0,OBSERVATION_PERFORMED
730.0,vis_sat_0_0,OBSERVATION_PERFORMED
740.0,vis_sat_0_0,OBSERVATION_PERFORMED
830.0,sar_sat_0_0,OBSERVATION_PERFORMED
850.0,sar_sat_0_0,OBSERVATION_PERFORMED
860.0,sar_sat_0_0,OBSERVATION_PERFORMED
870.0,sar_sat_0_0,OBSERVATION_PERFORMED
880.0,sar_sat_0_0,OBSERVATION_PERFORMED
890.0,sar_sat_0_0,OBSERVATION_PERFORMED
900.0,sar_sat_0_0,OBSERVATION_PERFORMED
910.0,sar_sat_0_0,OBSERVATION_PERFORMED
990.0,therm_sat_0_0,OBSERVATION_PERFORMED
1000.0,therm_sat_0_0,OBSERVATION_PERFORMED
1000.0,vis_sat_0_1,OBSERVATION_PERFORMED
1010.0,vis_sat_0_1,OBSERVATION_PERFORMED
1010.0,therm_sat_0_0,OBSERVATION_PERFORMED
1020.0,therm_sat_0_0,OBSERVATION_PERFORMED
1020.0,vis_sat_0_1,OBSERVATION_PERFORMED
1030.0,therm_sat_0_0,OBSERVATION_PERFORMED
1030.0,vis_sat_0_1,OBSERVATION_PERFORMED
1039.16,vis_sat_0_1,OBSERVATION_PERFORMED
1039.16,therm_sat_0_0,OBSERVATION_PERFORMED
1050.0,therm_sat_0_0,OBSERVATION_PERFORMED
1050.0,vis_sat_0_1,OBSERVATION_PERFORMED
1060.0,therm_sat_0_0,OBSERVATION_PERFORMED
1070.0,vis_sat_0_1,OBSERVATION_PERFORMED
1140.0,vis_sat_0_0,OBSERVATION_PERFORMED
1150.0,vis_sat_0_0,OBSERVATION_PERFORMED
1160.0,vis_sat_0_0,OBSERVATION_PERFORMED
1160.0,sar_sat_0_0,OBSERVATION_PERFORMED
1170.0,vis_sat_0_0,OBSERVATION_PERFORMED
1170.0,sar_sat_0_0,OBSERVATION_PERFORMED
1180.0,vis_sat_0_0,OBSERVATION_PERFORMED
1180.0,sar_sat_0_0,OBSERVATION_PERFORMED
1190.0,vis_sat_0_0,OBSERVATION_PERFORMED
1190.0,sar_sat_0_0,OBSERVATION_PERFORMED
1200.0,sar_sat_0_0,OBSERVATION_PERFORMED
1210.0,sar_sat_0_0,OBSERVATION_PERFORMED
1230.0,vis_sat_0_1,OBSERVATION_PERFORMED
1240.0,vis_sat_0_1,OBSERVATION_PERFORMED
1250.0,vis_sat_0_1,OBSERVATION_PERFORMED
1260.0,vis_sat_0_1,OBSERVATION_PERFORMED
1270.0,vis_sat_0_1,OBSERVATION_PERFORMED
1280.0,vis_sat_0_1,OBSERVATION_PERFORMED
1290.0,vis_sat_0_1,OBSERVATION_PERFORMED
1310.0,vis_sat_0_1,OBSERVATION_PERFORMED
1320.0,vis_sat_0_1,OBSERVATION_PERFORMED
1790.0,therm_sat_0_0,OBSERVATION_PERFORMED
1810.0,therm_sat_0_0,OBSERVATION_PERFORMED
1820.0,therm_sat_0_0,OBSERVATION_PERFORMED
1830.0,therm_sat_0_0,OBSERVATION_PERFORMED
1840.0,therm_sat_0_0,OBSERVATION_PERFORMED
1850.0,therm_sat_0_0,OBSERVATION_PERFORMED
1860.0,therm_sat_0_0,OBSERVATION_PERFORMED
1870.0,therm_sat_0_0,OBSERVATION_PERFORMED
1870.0,vis_sat_0_1,OBSERVATION_PERFORMED
1890.0,vis_sat_0_1,OBSERVATION_PERFORMED
1900.0,vis_sat_0_1,OBSERVATION_PERFORMED
1910.0,vis_sat_0_1,OBSERVATION_PERFORMED
1920.0,vis_sat_0_1,OBSERVATION_PERFORMED
1930.0,vis_sat_0_1,OBSERVATION_PERFORMED
1940.0,vis_sat_0_1,OBSERVATION_PERFORMED
1950.0,vis_sat_0_1,OBSERVATION_PERFORMED
2170.0,vis_sat_0_0,OBSERVATION_PERFORMED
2180.0,vis_sat_0_0,OBSERVATION_PERFORMED
2180.0,vis_sat_0_1,OBSERVATION_PERFORMED
2190.0,vis_sat_0_0,OBSERVATION_PERFORMED
2200.0,vis_sat_0_1,OBSERVATION_PERFORMED
2200.0,vis_sat_0_0,OBSERVATION_PERFORMED
2210.0,vis_sat_0_1,OBSERVATION_PERFORMED
2210.0,vis_sat_0_0,OBSERVATION_PERFORMED
2220.0,vis_sat_0_1,OBSERVATION_PERFORMED
2220.0,vis_sat_0_0,OBSERVATION_PERFORMED
2230.0,vis_sat_0_0,OBSERVATION_PERFORMED
2230.0,vis_sat_0_1,OBSERVATION_PERFORMED
2250.0,vis_sat_0_1,OBSERVATION_PERFORMED
2510.0,vis_sat_0_0,OBSERVATION_PERFORMED
