GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,lat [deg],lon [deg]
0,504,-0.6,78.2
48,355,-26.9,88.9
49,355,-26.9,88.9
122,138,-62.5,126.0
124,143,-61.9,129.8
139,125,-64.7,148.0
142,111,-67.5,150.5
167,122,-64.9,-171.9
200,195,-52.6,-142.3
209,233,-47.2,-139.1
228,286,-38.9,-127.6
248,346,-27.7,-123.0
272,426,-13.9,-118.0
304,539,4.8,-112.8
311,568,8.0,-109.2
326,623,17.1,-106.8
337,642,22.4,-102.5
344,663,26.9,-101.8
344,667,27.4,-103.2
354,700,32.9,-100.4
360,716,35.0,-96.6
379,771,45.9,-90.4
414,849,62.4,-68.6
438,867,65.9,-36.1
447,866,65.7,-23.2
464,854,63.3,0.2
468,857,64.3,6.9
474,833,59.8,9.9
476,822,58.6,11.3
482,814,57.4,17.2
531,707,33.9,41.4
591,525,1.5,56.1
592,513,0.7,55.7
627,389,-19.4,59.7
643,349,-27.4,64.4
660,308,-35.1,72.3
676,247,-44.6,75.9
705,174,-56.6,94.9
714,135,-62.9,98.5
719,140,-62.1,107.2
721,132,-63.2,109.2
722,134,-63.0,111.1
741,101,-68.6,135.1
742,100,-68.7,136.8
743,104,-68.4,138.3
751,111,-67.5,150.5
773,142,-62.0,179.1
773,154,-60.3,176.1
792,190,-53.2,-167.4
884,492,-3.5,-137.0
902,565,7.6,-135.9
907,579,10.4,-135.0
917,616,15.4,-131.0
972,763,44.6,-113.4
1004,845,61.7,-96.4
1034,873,68.9,-55.8
1048,867,65.9,-36.1
1056,856,63.8,-26.5
1056,866,65.7,-23.2
1066,848,62.3,-12.0
1076,817,57.8,-4.4
1077,815,57.5,-4.4
1082,808,55.7,0.3
1100,774,46.8,10.2
1106,754,42.8,10.2
1120,725,36.7,16.8
1122,711,34.4,15.6
1143,648,23.4,20.8
1159,611,14.5,24.1
1178,538,4.5,28.5
1206,439,-11.2,33.4
1228,372,-22.6,38.9
1249,317,-33.2,45.9
1250,312,-33.9,46.2
1258,292,-38.2,48.9
1291,184,-54.1,64.0
1309,141,-62.0,77.9
1321,117,-65.3,92.0
1337,110,-67.5,115.4
1342,116,-65.5,122.0
1360,128,-63.9,147.1
1365,148,-61.2,152.1
1406,258,-42.3,177.2
1411,285,-39.1,178.7
1414,281,-39.3,-177.3
1449,393,-19.1,-169.1
1474,486,-3.9,-165.6
1505,599,13.3,-158.9
1538,682,30.4,-148.1
1618,861,64.9,-93.8
1657,836,60.1,-43.6
1666,819,58.3,-33.6
1697,766,44.8,-13.4
1716,714,34.5,-7.9
1724,676,29.4,-7.1
1791,463,-6.8,6.6
1801,435,-12.2,8.6
1813,388,-19.4,10.3
1830,345,-27.8,16.0
1832,339,-29.2,16.4
1857,262,-41.9,24.8
1880,182,-54.3,33.1
1884,176,-56.2,35.9
1893,170,-57.2,46.7
1896,159,-59.3,47.6
1897,156,-59.9,48.5
1897,165,-58.6,50.1
1907,126,-64.6,57.9
1913,119,-65.1,65.8
1913,130,-63.6,66.7
1931,117,-65.3,92.0
1956,138,-62.5,126.0
1959,143,-61.9,129.8
1965,163,-58.8,133.8
1967,171,-57.1,134.1
1981,197,-52.3,146.5
1990,235,-47.1,149.0
2001,268,-41.2,153.4
2027,353,-27.1,161.5
2049,416,-15.3,168.2
2068,485,-4.0,170.4
2085,550,5.8,173.3
2097,592,12.5,176.4
2144,735,38.7,-171.5
2147,741,39.8,-169.1
2164,779,48.9,-161.8
2172,792,52.2,-157.2
2189,823,58.7,-143.6
2194,846,61.9,-139.7
2197,853,63.3,-137.3
2200,847,62.0,-131.6
2202,863,65.3,-133.1
2229,861,64.9,-93.8
2248,849,62.4,-68.6
2301,734,38.5,-35.0
2311,704,33.5,-32.7
2334,634,20.1,-29.2
2344,612,14.9,-26.4
2365,528,2.8,-22.7
2397,420,-14.6,-16.1
2398,420,-14.6,-16.1
2422,344,-27.9,-10.9
2430,319,-32.4,-8.7
2444,276,-39.9,-4.2
2445,276,-39.9,-4.2
2449,270,-41.0,-0.2
2463,222,-48.7,5.3
2464,222,-48.7,5.3
2469,207,-51.0,8.8
2470,204,-51.3,9.8
2491,151,-60.7,24.8
2520,107,-68.3,60.5
2523,119,-65.1,65.8
2541,117,-65.3,92.0
2547,135,-62.9,98.5
2572,189,-53.6,120.3
2572,200,-51.8,117.5
2574,201,-51.7,119.9
2577,215,-49.7,120.0
2631,378,-20.5,138.6
2666,501,-0.8,146.2
2682,569,8.2,149.6
2709,644,22.5,157.4
2723,681,30.1,161.3
2738,740,39.6,163.2
2748,769,45.0,167.4
2765,796,53.2,177.0
2782,843,61.3,-171.5
2806,871,67.0,-141.2
2811,863,65.3,-133.1
2839,845,61.7,-96.4
2852,824,58.8,-81.6
2864,794,52.8,-75.4
2879,772,45.9,-67.5
2884,750,42.3,-66.4
2893,727,37.7,-63.3
2895,733,38.5,-59.2
2940,604,14.0,-48.0
2952,564,7.4,-45.4
2953,564,7.4,-45.4
2974,480,-4.6,-42.5
2994,408,-16.6,-40.7
3000,395,-18.9,-37.3
3016,341,-28.5,-35.9
3044,248,-43.6,-27.7
3045,251,-43.1,-25.1
3054,231,-47.5,-21.1
3059,211,-50.5,-18.9
3071,177,-56.0,-12.9
3081,147,-61.2,-5.4
3087,145,-61.5,2.3
3107,123,-64.9,28.2
3112,109,-67.5,34.7
3128,126,-64.6,57.9
3133,119,-65.1,65.8
3135,130,-63.6,66.7
3144,141,-62.0,77.9
3151,167,-58.0,82.3
3152,161,-59.1,86.4
3162,196,-52.3,89.4
3195,298,-37.4,107.4
3205,326,-31.8,110.7
3237,421,-14.4,119.1
3262,515,0.9,122.2
3357,787,51.1,154.2
3381,839,60.7,173.4
3391,858,64.5,-176.5
3416,871,67.0,-141.2
3422,863,65.3,-133.1
3432,844,61.6,-122.5
3457,789,51.9,-102.2
3473,771,45.9,-90.4
3478,762,43.9,-87.2
3498,688,31.7,-84.4
3499,693,32.1,-82.6
3535,593,12.7,-73.5
3535,594,12.7,-73.3
3542,574,9.1,-71.8
3560,506,-0.3,-67.5
3568,467,-6.5,-69.9
3571,456,-8.0,-69.4
3578,446,-10.5,-64.0
3580,434,-12.3,-65.5
3586,412,-16.0,-64.8
3589,403,-17.6,-64.0
3609,348,-27.4,-57.3
3633,272,-40.5,-51.2
3644,239,-46.6,-48.0
3655,194,-52.7,-43.8
3656,210,-50.6,-38.7
3718,123,-64.9,28.2
3721,109,-67.5,34.7
3753,184,-54.1,64.0
3773,247,-44.6,75.9
3784,279,-39.8,82.6
3800,333,-31.0,86.9
3826,409,-16.6,93.5
3828,424,-14.2,90.8
3846,478,-5.0,96.7
3882,621,16.7,102.0
3898,653,24.7,107.5
3902,664,27.0,109.1
3954,800,53.6,129.9
3982,862,65.2,154.4
3985,868,66.3,158.6
3990,870,66.6,165.5
4004,869,66.5,-173.1
4024,855,63.4,-146.2
4029,846,61.9,-139.7
4030,846,61.9,-139.7
4034,838,60.6,-134.9
4069,763,44.6,-113.4
4087,712,34.5,-109.3
4102,667,27.4,-103.2
4110,642,22.4,-102.5
4145,527,2.7,-96.3
4158,493,-3.5,-91.4
4159,474,-5.3,-94.7
4174,432,-13.1,-90.4
4213,316,-33.3,-79.3
4217,303,-35.9,-79.3
4222,282,-39.3,-80.0
4223,293,-38.0,-75.5
4225,274,-40.2,-77.8
4236,238,-46.6,-74.6
4236,240,-46.4,-73.6
4239,234,-47.2,-70.6
4240,234,-47.2,-70.6
4254,187,-53.6,-61.9
4262,175,-56.4,-54.9
4271,149,-61.1,-49.8
4272,144,-61.8,-48.8
4278,136,-62.6,-41.7
4283,115,-65.8,-36.8
4289,113,-66.3,-27.8
4290,114,-66.0,-26.3
4329,151,-60.7,24.8
4341,176,-56.2,35.9
4390,321,-32.1,59.2
4390,323,-32.0,59.3
4398,347,-27.7,62.4
4462,573,9.0,74.5
4466,578,10.3,77.7
4497,672,28.6,83.2
4523,749,42.1,92.6
4530,775,46.9,93.5
4561,832,59.6,115.5
4592,862,65.2,154.4
4595,868,66.3,158.6
4599,870,66.6,165.5
4600,872,68.4,166.7
4604,860,64.6,171.6
4612,858,64.5,-176.5
4618,843,61.3,-171.5
4618,850,62.6,-169.7
4667,742,40.0,-140.2
4678,708,34.1,-136.7
4679,708,34.1,-136.7
4726,572,8.9,-125.1
4735,546,5.2,-120.6
4779,391,-19.3,-112.8
4814,291,-38.3,-104.1
4893,115,-65.8,-36.8
4899,113,-66.3,-27.8
4900,114,-66.0,-26.3
4923,145,-61.5,2.3
4947,212,-50.4,20.1
4986,338,-29.5,34.0
4989,343,-28.3,35.2
5000,372,-22.6,38.9
5041,516,1.0,46.6
5085,660,25.9,57.3
5096,687,31.6,61.0
5097,694,32.3,61.0
