routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.024,0.096,0.0,7152
__check_action_completion,0.0,0.002,0.0,7152
preplanner/update_percepts,0.004,0.025,0.001,7152
preplanner/needs_planning,0.0,0.0,0.0,7152
preplanner/calculate_access_times,0.21,0.0,0.21,1
preplanner/_schedule_observations,1.156,0.0,1.156,1
preplanner/is_observation_path_valid,0.003,0.0,0.003,1
preplanner/_schedule_broadcasts,401.082,0.0,401.082,1
preplanner/_schedule_maneuvers,22.962,0.0,22.962,1
preplanner/__schedule_periodic_replan,0.655,0.0,0.655,1
preplanner/generate_plan,427.86,0.0,427.86,1
replanner/needs_planning,0.0,0.0,0.0,7152
