routine,t_avg,t_std,t_med,n
__check_action_completion,0.0,0.0,0.0,967
_wait_for_messages,0.0,0.0,0.0,967
_preplan,2.527,0.0,2.527,1
_get_next_actions,0.001,0.004,0.0,967
_replan,0.451,0.322,0.377,37
preplanner/__get_new_requests,0.0,0.0,0.0,967
preplanner/__update_performed_requests,0.0,0.0,0.0,967
preplanner/_calc_arrival_times,0.321,0.131,0.296,101
preplanner/__update_access_times,0.033,1.041,0.0,967
preplanner/needs_initialized_plan,0.034,1.041,0.0,967
preplanner/_get_available_requests,0.001,0.0,0.001,1
preplanner/_plan_from_path,0.836,0.0,0.836,1
preplanner/initialize_plan,2.527,0.0,2.527,1
replanner/__update_known_requests,0.229,0.315,0.049,967
replanner/__update_performed_requests,0.0,0.001,0.0,967
replanner/_calc_arrival_times,0.406,0.162,0.384,130
replanner/__update_access_times,0.056,1.338,0.001,967
replanner/needs_replanning,0.715,1.615,0.164,967
replanner/_get_available_requests,0.001,0.002,0.0,37
replanner/_plan_from_path,0.22,0.136,0.224,37
