routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.005,0.0,1525
__check_action_completion,0.0,0.0,0.0,1525
replanner/__get_new_requests,0.0,0.0,0.0,1525
replanner/__update_performed_requests,0.0,0.0,0.0,1525
replanner/_update_access_times,0.034,1.261,0.0,1525
replanner/update_percepts,0.034,1.261,0.0,1525
replanner/check_request_completion,0.0,0.0,0.0,1525
replanner/check_request_end_time,0.0,0.0,0.0,1525
replanner/compare_bids,0.006,0.151,0.0,1525
replanner/calc_imaging_time,0.173,4.619,0.055,10278
replanner/calc_path_bid,0.557,8.011,0.22,3538
replanner/planning_phase,25.009,127.991,9.586,87
replanner/_schedule_broadcasts,0.021,0.037,0.016,87
replanner/_schedule_maneuvers,0.03,0.007,0.029,87
