Datametrics file based on GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,pnt-opt index,lat [deg],lon [deg],observation range [km],look angle [deg],incidence angle [deg],solar zenith [deg]
214,2426,,37.169,-88.427,665.3,-12.88,14.22,nan
215,1863,,38.62,-89.351,647.9,2.33,2.57,nan
215,2281,,38.037,-88.969,650.7,-5.53,6.1,nan
215,2853,,39.526,-91.648,688.4,18.91,20.92,nan
216,1863,,38.62,-89.351,649.2,-3.58,3.94,nan
216,2853,,39.526,-91.648,689.5,19.03,21.05,nan
217,4026,,39.411,-88.777,648.4,-0.68,0.75,nan
217,4203,,39.008,-86.5,682.9,-17.4,19.24,nan
218,2815,,40.691,-89.58,661.8,10.79,11.9,nan
218,4203,,39.008,-86.5,681.8,-17.0,18.8,nan
219,2815,,40.691,-89.58,663.6,11.31,12.47,nan
221,3854,,42.832,-89.001,682.6,16.79,18.57,nan
221,4101,,43.087,-89.378,697.2,20.05,22.2,nan
222,3854,,42.832,-89.001,680.9,16.2,17.91,nan
222,4101,,43.087,-89.378,694.4,19.34,21.41,nan
224,257,,44.185,-88.455,692.4,18.67,20.66,nan
226,2102,,44.398,-84.785,654.9,-3.85,4.25,nan
226,2247,,44.853,-85.322,657.8,6.4,7.06,nan
226,3899,,44.898,-85.408,658.5,6.9,7.61,nan
226,4150,,44.436,-84.673,655.7,-4.71,5.19,nan
226,4273,,44.637,-86.149,659.5,7.51,8.28,nan
227,2102,,44.398,-84.785,654.9,-3.06,3.37,nan
227,2247,,44.853,-85.322,655.3,3.68,4.05,nan
227,2436,,45.318,-85.256,658.6,6.58,7.26,nan
227,3899,,44.898,-85.408,656.0,4.39,4.84,nan
227,4150,,44.436,-84.673,654.7,-2.88,3.18,nan
227,4854,,45.993,-86.29,681.4,15.56,17.21,nan
228,2,,45.823,-84.754,658.8,6.32,6.97,nan
228,2405,,45.41,-84.624,655.0,2.42,2.67,nan
228,2436,,45.318,-85.256,658.3,5.97,6.59,nan
228,2474,,45.576,-84.487,655.8,3.5,3.86,nan
228,4065,,46.247,-85.851,675.8,13.76,15.21,nan
228,4109,,45.551,-84.393,655.5,3.19,3.52,nan
228,4820,,44.856,-83.597,659.1,-6.51,7.18,nan
228,4854,,45.993,-86.29,678.6,14.58,16.12,nan
229,2,,45.823,-84.754,658.4,5.54,6.11,nan
229,2405,,45.41,-84.624,658.4,5.58,6.15,nan
229,2474,,45.576,-84.487,656.7,3.99,4.4,nan
229,4065,,46.247,-85.851,675.7,13.53,14.95,nan
229,4109,,45.551,-84.393,656.4,3.52,3.89,nan
230,1621,,45.704,-81.996,669.7,-11.21,12.37,nan
230,2993,,45.888,-82.274,664.2,-8.82,9.73,nan
230,4067,,46.312,-82.963,657.0,-3.6,3.97,nan
230,4407,,45.712,-82.23,666.4,-9.84,10.86,nan
231,1621,,45.704,-81.996,672.6,-12.07,13.33,nan
231,2024,,46.208,-81.51,670.4,-11.25,12.42,nan
231,2993,,45.888,-82.274,666.6,-9.65,10.66,nan
231,3271,,46.867,-83.154,656.4,1.44,1.59,nan
231,3612,,47.962,-84.505,681.5,14.9,16.48,nan
231,4067,,46.312,-82.963,658.2,-4.25,4.69,nan
231,4407,,45.712,-82.23,670.3,-11.23,12.4,nan
232,196,,46.124,-80.013,700.1,-19.25,21.32,nan
232,1290,,46.666,-80.672,677.1,-13.4,14.81,nan
232,2024,,46.208,-81.51,673.2,-12.07,13.33,nan
232,2202,,47.238,-82.131,657.6,-2.77,3.05,nan
232,2209,,46.918,-81.461,663.6,-7.84,8.66,nan
232,3190,,48.23,-84.234,679.6,14.18,15.68,nan
232,3391,,47.278,-81.999,658.2,-3.64,4.01,nan
232,3612,,47.962,-84.505,679.7,14.19,15.69,nan
232,3668,,48.481,-84.532,690.0,16.98,18.79,nan
232,3772,,47.998,-83.972,671.9,11.6,12.82,nan
232,3794,,48.378,-84.232,682.7,15.07,16.66,nan
233,196,,46.124,-80.013,703.7,-19.87,22.02,nan
233,761,,47.181,-80.181,677.3,-13.27,14.67,nan
233,1290,,46.666,-80.672,678.6,-13.68,15.12,nan
233,1384,,49.009,-84.355,696.6,18.36,20.33,nan
233,1894,,47.406,-80.016,678.2,-13.54,14.96,nan
233,2064,,48.499,-83.424,671.5,11.22,12.39,nan
233,2202,,47.238,-82.131,660.1,-5.0,5.52,nan
233,2209,,46.918,-81.461,666.3,-8.94,9.87,nan
233,2944,,48.1,-82.27,658.8,3.61,3.98,nan
233,3190,,48.23,-84.234,681.2,14.45,15.97,nan
233,3391,,47.278,-81.999,659.7,-4.62,5.1,nan
233,3450,,46.845,-79.224,703.0,-19.71,21.85,nan
233,3668,,48.481,-84.532,690.2,16.87,18.67,nan
233,3772,,47.998,-83.972,674.7,12.4,13.7,nan
233,3794,,48.378,-84.232,682.7,14.89,16.47,nan
233,4128,,48.013,-81.558,659.3,-4.15,4.58,nan
234,524,,47.556,-79.239,687.7,-16.08,17.8,nan
234,674,,47.043,-79.273,696.9,-18.29,20.25,nan
234,761,,47.181,-80.181,678.7,-13.49,14.91,nan
234,876,,47.287,-79.462,687.9,-16.12,17.83,nan
234,1384,,49.009,-84.355,697.8,18.49,20.48,nan
234,1573,,48.531,-80.99,660.3,-4.61,5.09,nan
234,1894,,47.406,-80.016,676.5,-12.78,14.12,nan
234,2064,,48.499,-83.424,674.1,11.96,13.21,nan
234,2944,,48.1,-82.27,660.4,4.73,5.22,nan
234,3450,,46.845,-79.224,703.1,-19.6,21.72,nan
234,4123,,49.08,-83.391,679.7,13.82,15.28,nan
234,4128,,48.013,-81.558,658.6,-2.32,2.56,nan
235,184,,48.748,-80.578,659.7,-3.12,3.45,nan
235,524,,47.556,-79.239,688.1,-16.01,17.72,nan
235,876,,47.287,-79.462,691.9,-16.96,18.77,nan
235,919,,47.768,-78.316,701.9,-19.23,21.31,nan
235,1573,,48.531,-80.99,659.1,-2.16,2.38,nan
235,3367,,47.931,-79.265,680.1,-13.73,15.18,nan
235,3534,,48.551,-79.298,673.0,-11.31,12.49,nan
235,3623,,47.682,-78.931,690.6,-16.66,18.43,nan
235,4236,,48.2,-79.368,674.7,-11.93,13.18,nan
235,4353,,48.704,-80.937,658.7,-0.94,1.03,nan
235,4499,,48.036,-79.603,673.5,-11.49,12.7,nan
235,4985,,47.765,-79.216,683.9,-14.87,16.45,nan
236,184,,48.748,-80.578,661.7,-4.76,5.26,nan
236,919,,47.768,-78.316,703.0,-19.32,21.41,nan
236,1532,,48.393,-78.357,687.7,-15.74,17.42,nan
236,1534,,48.465,-78.126,691.1,-16.61,18.39,nan
236,1783,,48.177,-77.891,701.6,-19.01,21.06,nan
236,3367,,47.931,-79.265,684.0,-14.73,16.29,nan
236,3534,,48.551,-79.298,671.1,-10.28,11.35,nan
236,3694,,48.758,-78.982,672.5,-10.86,12.0,nan
236,4236,,48.2,-79.368,676.5,-12.37,13.67,nan
236,4822,,49.583,-80.83,660.7,3.73,4.12,nan
237,1011,,50.44,-80.153,665.1,6.85,7.56,nan
237,1292,,48.722,-77.044,707.9,-20.17,22.37,nan
237,1532,,48.393,-78.357,690.1,-16.19,17.92,nan
237,1534,,48.465,-78.126,691.7,-16.6,18.38,nan
237,1783,,48.177,-77.891,703.8,-19.33,21.43,nan
237,3694,,48.758,-78.982,674.3,-11.32,12.51,nan
237,4822,,49.583,-80.83,662.8,5.22,5.76,nan
238,1011,,50.44,-80.153,662.8,4.61,5.09,nan
238,1925,,49.984,-78.174,668.3,-8.38,9.26,nan
238,3520,,49.037,-76.967,701.2,-18.66,20.68,nan
238,3783,,49.598,-77.461,681.7,-13.65,15.1,nan
239,493,,49.842,-76.917,685.6,-14.6,16.16,nan
239,694,,50.084,-77.475,673.9,-10.66,11.78,nan
239,874,,49.667,-76.496,696.5,-17.45,19.32,nan
239,1394,,49.856,-77.185,681.2,-13.27,14.68,nan
239,1438,,50.334,-77.67,669.2,-8.49,9.37,nan
239,1925,,49.984,-78.174,668.8,-8.32,9.19,nan
239,2353,,49.399,-76.452,703.7,-19.03,21.09,nan
239,3520,,49.037,-76.967,705.0,-19.32,21.42,nan
239,3783,,49.598,-77.461,682.6,-13.73,15.19,nan
239,4434,,50.415,-78.401,663.1,-4.31,4.75,nan
239,4624,,50.32,-76.916,679.4,-12.7,14.04,nan
240,367,,51.036,-76.865,671.2,-9.16,10.12,nan
240,493,,49.842,-76.917,688.7,-15.3,16.93,nan
240,694,,50.084,-77.475,677.4,-11.77,13.01,nan
240,874,,49.667,-76.496,699.3,-17.93,19.86,nan
240,1049,,50.413,-76.702,679.2,-12.4,13.71,nan
240,1438,,50.334,-77.67,671.2,-9.18,10.14,nan
240,1672,,50.927,-77.169,668.3,-7.67,8.47,nan
240,2507,,50.785,-76.436,678.6,-12.17,13.46,nan
240,2603,,49.966,-75.639,706.7,-19.53,21.66,nan
240,3666,,50.954,-77.333,666.7,-6.67,7.36,nan
240,3767,,50.66,-76.315,681.7,-13.23,14.63,nan
240,4207,,50.968,-76.59,675.1,-10.86,12.01,nan
240,4624,,50.32,-76.916,678.1,-12.0,13.26,nan
241,367,,51.036,-76.865,669.9,-8.2,9.06,nan
241,905,,50.444,-75.206,703.9,-18.79,20.83,nan
241,1049,,50.413,-76.702,683.1,-13.47,14.9,nan
241,1539,,51.443,-76.744,667.3,-6.64,7.34,nan
241,1615,,50.59,-75.43,696.2,-17.06,18.89,nan
241,1672,,50.927,-77.169,669.5,-7.99,8.83,nan
241,1992,,50.895,-76.304,677.3,-11.49,12.7,nan
241,2507,,50.785,-76.436,677.7,-11.62,12.85,nan
241,2541,,51.15,-75.528,685.4,-14.18,15.69,nan
241,2603,,49.966,-75.639,709.7,-19.98,22.16,nan
241,3466,,51.099,-75.963,679.0,-12.1,13.38,nan
241,3666,,50.954,-77.333,668.4,-7.35,8.12,nan
241,3687,,51.499,-76.984,665.3,-5.13,5.66,nan
241,3767,,50.66,-76.315,681.4,-12.93,14.3,nan
241,4207,,50.968,-76.59,673.2,-9.79,10.82,nan
242,188,,52.212,-76.584,664.6,-3.77,4.17,nan
242,905,,50.444,-75.206,707.4,-19.38,21.49,nan
242,969,,51.483,-75.225,682.7,-13.13,14.52,nan
242,1539,,51.443,-76.744,668.8,-7.21,7.97,nan
242,1615,,50.59,-75.43,699.5,-17.67,19.58,nan
242,2092,,50.772,-74.659,706.9,-19.29,21.38,nan
242,2282,,51.092,-74.918,694.5,-16.46,18.23,nan
242,2541,,51.15,-75.528,684.0,-13.55,14.99,nan
242,2739,,51.445,-74.668,692.8,-16.05,17.77,nan
242,2984,,50.785,-74.648,706.8,-19.26,21.35,nan
242,3008,,52.751,-77.672,667.6,6.44,7.11,nan
242,3294,,51.334,-74.884,690.6,-15.44,17.09,nan
242,3359,,51.13,-74.648,698.7,-17.47,19.36,nan
242,3466,,51.099,-75.963,680.1,-12.26,13.56,nan
242,3687,,51.499,-76.984,667.4,-6.28,6.93,nan
242,4318,,52.411,-77.474,664.0,3.03,3.34,nan
242,4334,,51.364,-74.626,694.9,-16.56,18.34,nan
243,188,,52.212,-76.584,665.3,-3.83,4.22,nan
243,325,,52.188,-75.886,667.5,-5.86,6.47,nan
243,969,,51.483,-75.225,683.9,-13.3,14.72,nan
243,1283,,52.943,-76.78,664.9,3.34,3.69,nan
243,1763,,53.44,-78.086,678.6,11.49,12.7,nan
243,2156,,53.735,-78.568,690.3,15.18,16.81,nan
243,2282,,51.092,-74.918,697.8,-17.11,18.95,nan
243,2342,,52.282,-75.373,670.6,-7.86,8.68,nan
243,2430,,51.34,-74.23,701.4,-17.94,19.88,nan
243,2739,,51.445,-74.668,691.8,-15.59,17.26,nan
243,3008,,52.751,-77.672,668.1,6.29,6.95,nan
243,3294,,51.334,-74.884,691.5,-15.52,17.18,nan
243,3359,,51.13,-74.648,700.4,-17.71,19.62,nan
243,3720,,53.214,-77.776,672.4,8.81,9.74,nan
243,4182,,52.253,-75.62,668.7,-6.72,7.42,nan
243,4318,,52.411,-77.474,666.9,5.37,5.93,nan
243,4334,,51.364,-74.626,694.3,-16.26,18.0,nan
243,4382,,51.418,-73.831,707.0,-19.17,21.25,nan
244,64,,53.785,-77.451,677.0,10.59,11.71,nan
244,73,,53.729,-75.963,668.6,6.22,6.88,nan
244,266,,53.468,-76.673,667.5,5.37,5.93,nan
244,1283,,52.943,-76.78,666.7,4.69,5.18,nan
244,1603,,54.384,-78.138,697.5,16.87,18.69,nan
244,1763,,53.44,-78.086,681.5,12.27,13.57,nan
244,2156,,53.735,-78.568,692.3,15.55,17.21,nan
244,2321,,54.124,-77.888,688.1,14.36,15.9,nan
244,2342,,52.282,-75.373,672.2,-8.39,9.28,nan
244,3870,,54.577,-77.776,697.9,16.97,18.8,nan
244,4182,,52.253,-75.62,671.8,-8.16,9.01,nan
244,4257,,54.598,-77.976,701.1,17.71,19.63,nan
244,4382,,51.418,-73.831,709.2,-19.48,21.6,nan
245,73,,53.729,-75.963,666.6,3.82,4.22,nan
245,1603,,54.384,-78.138,698.7,16.99,18.82,nan
245,1613,,53.999,-75.431,667.1,4.39,4.85,nan
245,1741,,53.401,-74.185,670.2,-6.85,7.57,nan
245,2321,,54.124,-77.888,690.7,14.91,16.51,nan
245,2326,,53.252,-74.777,667.1,-4.37,4.83,nan
245,2899,,54.22,-76.559,674.7,9.26,10.24,nan
245,3578,,52.755,-73.647,682.0,-12.23,13.53,nan
245,3610,,54.322,-77.009,680.6,11.71,12.96,nan
245,3672,,53.592,-74.902,665.7,-2.7,2.98,nan
245,3710,,54.257,-76.005,671.6,7.69,8.5,nan
245,3870,,54.577,-77.776,695.8,16.27,18.02,nan
245,3926,,53.041,-74.299,671.7,-7.74,8.55,nan
245,4257,,54.598,-77.976,699.6,17.2,19.06,nan
245,4628,,54.914,-76.879,691.8,15.22,16.85,nan
245,4835,,54.83,-76.698,687.8,14.09,15.6,nan
246,219,,53.887,-73.463,671.4,-7.16,7.91,nan
246,1613,,53.999,-75.431,667.4,3.97,4.39,nan
246,1741,,53.401,-74.185,670.3,-6.49,7.17,nan
246,2085,,53.48,-73.051,678.3,-10.58,11.7,nan
246,2597,,53.88,-74.063,667.3,-3.9,4.31,nan
246,2899,,54.22,-76.559,677.8,10.38,11.48,nan
246,3578,,52.755,-73.647,685.5,-13.17,14.57,nan
246,3672,,53.592,-74.902,667.4,-4.05,4.47,nan
246,3710,,54.257,-76.005,672.0,7.54,8.33,nan
246,3926,,53.041,-74.299,675.7,-9.42,10.42,nan
246,4039,,53.5,-72.442,686.6,-13.5,14.94,nan
246,4296,,53.308,-72.989,681.2,-11.7,12.94,nan
246,4628,,54.914,-76.879,689.8,14.48,16.02,nan
246,4835,,54.83,-76.698,685.9,13.28,14.7,nan
247,165,,54.182,-72.548,675.0,-8.8,9.72,nan
247,219,,53.887,-73.463,670.9,-6.39,7.06,nan
247,1891,,53.526,-71.885,691.6,-14.78,16.36,nan
247,2085,,53.48,-73.051,679.6,-10.82,11.96,nan
247,2597,,53.88,-74.063,669.7,-5.51,6.09,nan
247,3388,,55.445,-75.29,681.2,11.42,12.63,nan
247,4039,,53.5,-72.442,684.8,-12.7,14.05,nan
247,4296,,53.308,-72.989,683.7,-12.35,13.66,nan
247,4364,,53.639,-71.805,690.8,-14.55,16.11,nan
247,4840,,53.573,-71.922,690.1,-14.37,15.91,nan
248,129,,56.177,-74.845,689.9,14.11,15.62,nan
248,165,,54.182,-72.548,674.7,-8.32,9.19,nan
248,178,,54.975,-73.275,667.0,-0.89,0.99,nan
248,663,,55.467,-73.632,670.3,5.47,6.05,nan
248,1315,,55.552,-74.448,674.8,8.35,9.24,nan
248,1891,,53.526,-71.885,694.0,-15.25,16.89,nan
248,1977,,54.613,-72.67,669.6,-4.87,5.38,nan
248,1978,,53.835,-70.403,708.5,-18.74,20.79,nan
248,2158,,54.271,-71.746,680.3,-10.82,11.97,nan
248,2332,,53.742,-70.275,713.2,-19.7,21.86,nan
248,2468,,54.01,-70.627,700.8,-17.0,18.84,nan
248,2508,,55.059,-72.436,670.2,-5.41,5.98,nan
248,3155,,53.543,-71.018,704.7,-17.91,19.86,nan
248,3181,,54.166,-71.701,682.3,-11.58,12.81,nan
248,3215,,53.751,-70.517,708.2,-18.67,20.71,nan
248,3222,,54.799,-72.946,667.7,-2.67,2.95,nan
248,3388,,55.445,-75.29,681.7,11.39,12.6,nan
248,3527,,54.751,-71.816,675.6,-8.73,9.65,nan
248,3984,,54.186,-70.852,694.0,-15.26,16.9,nan
248,4364,,53.639,-71.805,691.8,-14.65,16.22,nan
248,4640,,54.781,-72.731,668.6,-3.83,4.23,nan
248,4840,,53.573,-71.922,692.3,-14.8,16.38,nan
248,4974,,56.002,-75.223,689.8,14.08,15.58,nan
249,129,,56.177,-74.845,689.0,13.63,15.09,nan
249,178,,54.975,-73.275,670.2,-4.8,5.3,nan
249,357,,56.477,-74.273,688.1,13.33,14.75,nan
249,601,,54.821,-70.714,683.6,-11.81,13.07,nan
249,663,,55.467,-73.632,670.6,5.14,5.68,nan
249,1016,,56.002,-73.26,672.8,6.82,7.54,nan
249,1314,,55.872,-72.726,670.3,4.91,5.43,nan
249,1315,,55.552,-74.448,678.0,9.54,10.55,nan
249,1477,,56.205,-73.168,675.6,8.41,9.3,nan
249,1602,,56.664,-73.814,688.7,13.53,14.98,nan
249,1786,,55.953,-72.935,671.4,5.81,6.42,nan
249,1977,,54.613,-72.67,673.2,-7.07,7.81,nan
249,1978,,53.835,-70.403,708.2,-18.52,20.54,nan
249,2139,,55.086,-71.618,672.2,-6.41,7.09,nan
249,2158,,54.271,-71.746,682.6,-11.45,12.67,nan
249,2287,,56.481,-74.735,693.4,14.89,16.49,nan
249,2332,,53.742,-70.275,713.0,-19.53,21.67,nan
249,2409,,55.279,-71.639,671.4,-5.8,6.41,nan
249,2468,,54.01,-70.627,700.1,-16.66,18.46,nan
249,2508,,55.059,-72.436,668.7,-3.19,3.52,nan
249,2957,,55.189,-71.418,673.3,-7.12,7.87,nan
249,3181,,54.166,-71.701,685.3,-12.41,13.73,nan
249,3215,,53.751,-70.517,709.2,-18.72,20.76,nan
249,3222,,54.799,-72.946,671.0,-5.48,6.05,nan
249,3398,,54.067,-70.207,704.9,-17.78,19.71,nan
249,3527,,54.751,-71.816,673.9,-7.5,8.29,nan
249,3589,,53.922,-69.948,713.1,-19.54,21.69,nan
249,3667,,55.296,-72.015,669.2,-3.77,4.16,nan
249,3984,,54.186,-70.852,692.8,-14.74,16.32,nan
249,4640,,54.781,-72.731,671.0,-5.48,6.06,nan
249,4974,,56.002,-75.223,692.1,14.54,16.11,nan
250,51,,54.851,-69.78,693.2,-14.66,16.24,nan
250,357,,56.477,-74.273,689.1,13.44,14.88,nan
250,601,,54.821,-70.714,683.3,-11.46,12.68,nan
250,1016,,56.002,-73.26,673.8,7.01,7.74,nan
250,1314,,55.872,-72.726,670.0,3.98,4.4,nan
250,1477,,56.205,-73.168,674.3,7.32,8.09,nan
250,1527,,55.969,-72.234,668.7,2.07,2.28,nan
250,1602,,56.664,-73.814,686.2,12.47,13.8,nan
250,1786,,55.953,-72.935,671.3,5.23,5.78,nan
250,2139,,55.086,-71.618,673.9,-7.07,7.81,nan
250,2287,,56.481,-74.735,696.3,15.51,17.18,nan
250,2409,,55.279,-71.639,671.4,-5.31,5.86,nan
250,2471,,56.874,-74.084,693.4,14.69,16.27,nan
250,2957,,55.189,-71.418,673.1,-6.57,7.26,nan
250,3104,,55.87,-72.117,668.4,0.94,1.04,nan
250,3306,,57.548,-74.49,717.0,20.17,22.4,nan
250,3398,,54.067,-70.207,708.6,-18.44,20.45,nan
250,3416,,56.785,-73.927,689.6,13.6,15.06,nan
250,3589,,53.922,-69.948,716.8,-20.12,22.34,nan
250,3667,,55.296,-72.015,670.8,-4.79,5.3,nan
250,4194,,57.379,-74.152,707.1,18.12,20.1,nan
250,4861,,55.747,-70.733,673.4,-6.75,7.46,nan
251,51,,54.851,-69.78,695.3,-15.05,16.67,nan
251,230,,57.677,-73.477,704.0,17.25,19.13,nan
251,903,,58.075,-73.378,715.2,19.68,21.84,nan
251,3264,,57.407,-73.039,692.1,14.13,15.65,nan
251,3306,,57.548,-74.49,716.5,19.92,22.11,nan
251,3812,,55.426,-69.585,684.6,-11.69,12.94,nan
251,3869,,57.438,-72.657,689.3,13.26,14.68,nan
251,3884,,57.335,-72.904,689.1,13.22,14.64,nan
251,3915,,57.687,-73.995,711.6,18.94,21.02,nan
251,4194,,57.379,-74.152,706.7,17.86,19.81,nan
251,4861,,55.747,-70.733,672.3,-5.46,6.04,nan
252,230,,57.677,-73.477,705.1,17.35,19.23,nan
252,903,,58.075,-73.378,712.5,18.97,21.05,nan
252,1329,,56.109,-68.313,687.9,-12.6,13.95,nan
252,1402,,56.568,-69.181,675.3,-7.08,7.83,nan
252,1485,,55.6,-67.644,706.7,-17.7,19.63,nan
252,2776,,56.452,-69.999,671.0,-3.47,3.83,nan
252,3264,,57.407,-73.039,693.8,14.42,15.97,nan
252,3812,,55.426,-69.585,688.0,-12.63,13.98,nan
252,3869,,57.438,-72.657,689.0,12.97,14.36,nan
252,3884,,57.335,-72.904,690.9,13.55,15.01,nan
252,4337,,57.638,-72.07,686.1,11.97,13.25,nan
252,4389,,57.696,-71.579,683.5,11.01,12.19,nan
253,704,,56.783,-68.163,679.1,-8.78,9.71,nan
