stat_name,val
t_start,2020-01-01 00:00:00+00:00
t_end,2020-01-02 00:00:00+00:00
n_events,790
n_events_detected,1
n_events_obs,0
n_reqs_total,102
n_reqs_init,101
n_reqs_gen,1
n_obs_unique_max,306
n_obs_unique_pos,73
n_obs_unique,72
n_obs_co,0
n_obs,72
u_max,105.51862035088654
u_total,4.94252829218107
u_norm,0.04684034226135088
