id,type,x_pos,y_pos,z_pos,s_max,measurements,t_start,t_end,t_corr
ddb871a2,GROUND_POINT,5337.224268031289,3491.7557006492893,47.97813146383141,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddb8ec0e,GROUND_POINT,615.1169652280626,-4623.984611421844,4349.829892513073,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddb91ed6,GROUND_POINT,406.402957876742,-4426.166406887765,4574.3316709378405,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddb94ec4,GROUND_POINT,5538.799116240666,3093.6803858653047,-656.862756914694,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddb97d72,GROUND_POINT,-966.2673783683308,3784.7800972079763,5042.0620415319445,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddb9aafe,GROUND_POINT,5045.45384488806,3563.986412137975,-1588.0865891310452,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddb9d74a,GROUND_POINT,898.8023036626365,-4584.657516159215,4342.08389368898,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddba03dc,GROUND_POINT,2278.158738686018,3900.8803476145704,4502.637886430649,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddba3000,GROUND_POINT,1116.7695837167585,-4411.567404308493,4468.950815964037,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddba5b98,GROUND_POINT,6014.103145293561,1558.386124624585,1443.1280974762371,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbadec4,GROUND_POINT,2900.2658846585045,3836.63586121435,4189.189149239713,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbb106a,GROUND_POINT,2736.5225342760396,1646.4048317042018,5520.997936145076,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbb3e64,GROUND_POINT,1168.203190274984,4241.737257937686,4617.74717824962,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbb6bfa,GROUND_POINT,2565.1049027893,1740.7222025433123,5574.113894838958,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbb9d00,GROUND_POINT,-4115.968083476577,3810.59433731928,-3036.247716107841,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbbc9ec,GROUND_POINT,2188.03649364457,-5708.670852100328,-1817.7447747792826,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbbf5ca,GROUND_POINT,569.1777782846607,-6232.400738212345,1230.3821993246004,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbc2194,GROUND_POINT,-1198.1385881205429,-3088.9038212981127,5450.11557380246,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbc4f70,GROUND_POINT,5141.676460793821,3755.3921059180525,375.2545332235252,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbc7c98,GROUND_POINT,-1856.1026227263926,-4408.76097623043,4218.806984178539,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbca920,GROUND_POINT,1023.8781830845031,4590.759653442898,4307.809412207338,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbcd508,GROUND_POINT,2549.5605574880888,-4846.34511903818,-3270.0615609271813,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbd021c,GROUND_POINT,6339.582837425502,6.677192460083909,700.1910624240799,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbd33d6,GROUND_POINT,5345.602270338164,3366.576823012409,-878.2479851891604,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbd61e4,GROUND_POINT,1641.7518519186992,-3405.4490986987353,5136.943639390176,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbd8e1c,GROUND_POINT,5437.134793679236,3320.2055475323236,307.28328766129783,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbdbb3a,GROUND_POINT,3267.3565544461812,716.4968398696387,5430.620230319194,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbde952,GROUND_POINT,-806.460273793935,-3452.0151021493853,5302.248223414524,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbe1666,GROUND_POINT,4894.218890846288,3164.571560452979,2590.89385128631,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbe423a,GROUND_POINT,5360.437048786592,2942.1045155763663,-1813.9344880118863,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbe6de6,GROUND_POINT,2466.5311418031138,2887.5685932047995,5124.333557393623,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbe99e2,GROUND_POINT,5523.738991482995,3046.6241263178176,-941.8129582280613,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbec52a,GROUND_POINT,-660.1806065812407,-3881.037609803972,5018.200005914351,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbef0e0,GROUND_POINT,3544.836712026833,3591.28373183685,3900.9532814285894,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbf1c46,GROUND_POINT,-285.03235230110766,1601.8492897460944,6167.127213902704,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbf4c66,GROUND_POINT,808.5760258594048,-2404.4452691457163,5851.962954382561,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbf79d4,GROUND_POINT,-723.1041925221148,3465.7121585769587,5305.335260096809,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbfa94a,GROUND_POINT,-601.3874084163036,-3916.9255135786743,4997.664491285151,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddbfd82a,GROUND_POINT,122.68746765659947,-4156.697815105328,4836.05559527145,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddc0041c,GROUND_POINT,2690.787698949931,1478.1265722988294,5590.655243960366,1,"['visible', 'sar', 'thermal']",0,86400,86400
ddc031f8,GROUND_POINT,-902.7665550100753,5018.412375992007,3831.6018103429283,1,"['visible', 'sar', 'thermal']",0,86400,86400
