Datametrics file based on GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,pnt-opt index,lat [deg],lon [deg],observation range [km],look angle [deg],incidence angle [deg],solar zenith [deg]
0,262,,35.855,38.559,649.2,-5.91,6.51,nan
0,811,,36.06,37.519,647.6,4.6,5.07,nan
0,1114,,36.383,38.183,645.6,-1.6,1.77,nan
0,2664,,37.2,35.279,703.2,22.23,24.62,nan
0,4443,,38.335,35.26,735.2,27.15,30.16,nan
0,4530,,37.273,36.27,676.1,16.51,18.24,nan
0,4575,,37.04,35.34,698.6,21.39,23.68,nan
0,4829,,37.056,37.889,651.9,7.73,8.51,nan
1,247,,37.485,38.323,650.6,6.58,7.25,nan
1,262,,35.855,38.559,655.8,-9.51,10.49,nan
1,1114,,36.383,38.183,648.0,-4.49,4.95,nan
1,2664,,37.2,35.279,708.4,23.04,25.53,nan
1,4443,,38.335,35.26,728.7,26.18,29.07,nan
1,4530,,37.273,36.27,676.8,16.54,18.27,nan
1,4829,,37.056,37.889,648.0,4.41,4.86,nan
2,247,,37.485,38.323,647.4,3.21,3.54,nan
2,4443,,38.335,35.26,729.0,26.14,29.03,nan
2,4829,,37.056,37.889,651.6,6.96,7.67,nan
3,247,,37.485,38.323,651.9,6.83,7.53,nan
3,433,,38.807,38.761,656.1,9.21,10.15,nan
3,499,,36.629,42.829,751.1,-28.95,32.22,nan
3,911,,38.228,39.137,648.1,3.42,3.77,nan
3,2166,,38.502,39.506,652.2,-7.0,7.71,nan
4,433,,38.807,38.761,651.4,6.1,6.72,nan
4,499,,36.629,42.829,751.4,-28.92,32.19,nan
4,911,,38.228,39.137,648.1,2.73,3.01,nan
4,2166,,38.502,39.506,647.5,-1.19,1.32,nan
5,433,,38.807,38.761,654.2,7.6,8.38,nan
5,499,,36.629,42.829,758.3,-29.66,33.04,nan
5,911,,38.228,39.137,655.7,8.48,9.35,nan
5,2166,,38.502,39.506,650.4,-4.82,5.31,nan
6,50,,38.644,42.948,704.9,-21.95,24.32,nan
6,1617,,38.689,43.528,725.1,-25.24,28.02,nan
6,3817,,38.852,42.343,683.5,-17.56,19.41,nan
7,50,,38.644,42.948,705.2,-21.89,24.26,nan
7,1617,,38.689,43.528,722.4,-24.74,27.46,nan
7,3817,,38.852,42.343,684.4,-17.63,19.49,nan
8,50,,38.644,42.948,712.3,-23.04,25.55,nan
8,1617,,38.689,43.528,726.4,-25.26,28.04,nan
8,3817,,38.852,42.343,692.4,-19.29,21.35,nan
9,1448,,40.97,43.285,675.2,-14.96,16.53,nan
10,128,,40.552,44.991,726.2,-25.06,27.82,nan
10,1448,,40.97,43.285,671.2,-13.58,15.0,nan
10,4505,,41.399,43.789,678.5,-15.73,17.38,nan
11,128,,40.552,44.991,725.9,-24.91,27.66,nan
11,1448,,40.97,43.285,674.5,-14.42,15.92,nan
11,2266,,40.947,46.168,759.1,-29.32,32.66,nan
11,4505,,41.399,43.789,675.0,-14.57,16.1,nan
12,128,,40.552,44.991,732.3,-25.76,28.62,nan
12,660,,44.985,39.116,758.4,29.16,32.48,nan
12,2266,,40.947,46.168,756.6,-28.94,32.23,nan
12,4505,,41.399,43.789,678.7,-15.46,17.09,nan
13,660,,44.985,39.116,752.1,28.32,31.52,nan
13,2266,,40.947,46.168,760.4,-29.32,32.67,nan
13,3281,,45.159,39.532,744.4,27.33,30.4,nan
13,4341,,44.24,42.231,665.7,11.05,12.19,nan
14,660,,44.985,39.116,752.3,28.26,31.46,nan
14,3281,,45.159,39.532,741.4,26.85,29.86,nan
14,4062,,45.019,41.7,682.7,16.22,17.93,nan
14,4341,,44.24,42.231,661.0,8.67,9.56,nan
15,3281,,45.159,39.532,745.1,27.25,30.32,nan
15,4062,,45.019,41.7,679.4,15.17,16.77,nan
15,4084,,43.279,47.508,738.6,-26.38,29.33,nan
15,4341,,44.24,42.231,663.7,9.69,10.7,nan
16,225,,46.552,41.853,711.3,22.02,24.41,nan
16,873,,47.11,40.777,759.4,28.97,32.27,nan
16,1205,,45.46,44.656,661.4,8.24,9.09,nan
16,3427,,43.58,47.455,725.4,-24.36,27.05,nan
16,4062,,45.019,41.7,683.3,16.07,17.77,nan
16,4084,,43.279,47.508,734.7,-25.74,28.61,nan
16,4552,,46.291,42.539,690.5,17.83,19.72,nan
17,225,,46.552,41.853,705.9,20.92,23.19,nan
17,873,,47.11,40.777,753.1,28.1,31.29,nan
17,1205,,45.46,44.656,655.1,2.47,2.72,nan
17,3427,,43.58,47.455,725.6,-24.28,26.96,nan
17,4084,,43.279,47.508,737.4,-26.03,28.94,nan
17,4552,,46.291,42.539,684.9,16.32,18.05,nan
18,82,,47.61,42.11,726.9,24.38,27.08,nan
18,225,,46.552,41.853,707.6,21.11,23.4,nan
18,873,,47.11,40.777,753.2,28.03,31.21,nan
18,1205,,45.46,44.656,656.2,3.38,3.73,nan
18,3427,,43.58,47.455,732.4,-25.21,28.02,nan
18,4552,,46.291,42.539,686.5,16.57,18.33,nan
19,82,,47.61,42.11,723.9,23.81,26.44,nan
19,1815,,45.756,48.616,708.0,-21.07,23.36,nan
19,1984,,45.67,47.965,691.2,-17.57,19.44,nan
19,3824,,47.365,45.201,668.6,10.77,11.89,nan
19,4287,,45.758,48.604,707.6,-21.0,23.28,nan
19,4813,,45.619,48.472,705.4,-20.57,22.8,nan
20,82,,47.61,42.11,727.7,24.3,26.99,nan
20,1815,,45.756,48.616,702.6,-19.9,22.05,nan
20,1984,,45.67,47.965,689.6,-17.03,18.84,nan
20,3025,,46.185,49.198,712.0,-21.69,24.06,nan
20,3824,,47.365,45.201,662.1,7.32,8.08,nan
20,3877,,48.123,44.79,680.6,14.66,16.21,nan
20,4069,,47.635,44.855,669.0,10.69,11.8,nan
20,4287,,45.758,48.604,702.2,-19.83,21.97,nan
20,4813,,45.619,48.472,701.9,-19.77,21.9,nan
21,68,,48.827,44.681,694.0,17.93,19.84,nan
21,1815,,45.756,48.616,704.1,-20.08,22.25,nan
21,1984,,45.67,47.965,695.0,-18.15,20.09,nan
21,3025,,46.185,49.198,706.8,-20.6,22.84,nan
21,3811,,48.778,45.08,687.4,16.32,18.06,nan
21,3824,,47.365,45.201,663.0,7.52,8.3,nan
21,3877,,48.123,44.79,675.5,12.89,14.24,nan
21,4069,,47.635,44.855,668.6,10.28,11.35,nan
21,4287,,45.758,48.604,703.8,-20.01,22.18,nan
21,4591,,46.314,49.609,715.5,-22.2,24.63,nan
21,4813,,45.619,48.472,705.4,-20.34,22.54,nan
22,68,,48.827,44.681,689.5,16.7,18.48,nan
22,206,,48.398,47.573,664.1,-7.79,8.6,nan
22,1360,,48.198,46.898,659.3,4.25,4.68,nan
22,1815,,45.756,48.616,712.5,-21.55,23.9,nan
22,3025,,46.185,49.198,708.5,-20.8,23.06,nan
22,3811,,48.778,45.08,681.7,14.59,16.14,nan
22,3877,,48.123,44.79,677.7,13.39,14.8,nan
22,4069,,47.635,44.855,675.5,12.68,14.01,nan
22,4287,,45.758,48.604,712.3,-21.5,23.84,nan
22,4591,,46.314,49.609,714.1,-21.83,24.22,nan
23,68,,48.827,44.681,692.1,17.17,19.01,nan
23,206,,48.398,47.573,658.4,-2.11,2.32,nan
23,955,,49.148,46.685,667.9,9.41,10.39,nan
23,1360,,48.198,46.898,658.8,2.79,3.07,nan
23,3025,,46.185,49.198,717.0,-22.22,24.66,nan
23,3811,,48.778,45.08,683.1,14.83,16.4,nan
23,4294,,49.324,46.109,676.0,12.64,13.97,nan
23,4591,,46.314,49.609,719.5,-22.65,25.15,nan
24,206,,48.398,47.573,660.2,-3.83,4.22,nan
24,922,,49.168,48.13,660.7,4.42,4.88,nan
24,955,,49.148,46.685,665.9,8.11,8.96,nan
24,1155,,49.014,48.796,663.5,-6.64,7.32,nan
24,1360,,48.198,46.898,665.7,7.98,8.81,nan
24,2949,,49.464,48.115,664.1,7.05,7.78,nan
24,3098,,49.187,48.62,663.3,-6.52,7.2,nan
24,4294,,49.324,46.109,674.8,11.99,13.25,nan
24,4912,,49.599,47.853,665.9,8.09,8.93,nan
25,922,,49.168,48.13,659.4,1.55,1.71,nan
25,955,,49.148,46.685,671.3,10.38,11.46,nan
25,1155,,49.014,48.796,660.7,-3.68,4.06,nan
25,1400,,48.46,51.923,720.4,-22.59,25.07,nan
25,2949,,49.464,48.115,659.9,2.5,2.76,nan
25,3098,,49.187,48.62,659.6,-1.87,2.07,nan
25,3481,,49.744,49.027,663.8,-6.41,7.07,nan
25,4294,,49.324,46.109,680.8,13.78,15.24,nan
25,4912,,49.599,47.853,661.5,4.54,5.02,nan
26,922,,49.168,48.13,665.6,7.17,7.92,nan
26,1019,,49.812,49.935,664.8,-6.67,7.36,nan
26,1155,,49.014,48.796,665.3,-7.0,7.73,nan
26,1400,,48.46,51.923,715.9,-21.67,24.05,nan
26,2348,,50.19,49.947,666.9,-7.94,8.77,nan
26,2949,,49.464,48.115,663.0,5.4,5.96,nan
26,3098,,49.187,48.62,663.2,-5.55,6.13,nan
26,3481,,49.744,49.027,659.9,-1.0,1.11,nan
26,4912,,49.599,47.853,664.5,6.46,7.13,nan
27,157,,52.054,47.758,704.5,19.35,21.45,nan
27,1019,,49.812,49.935,663.4,-5.18,5.72,nan
27,1400,,48.46,51.923,718.1,-21.95,24.36,nan
27,2348,,50.19,49.947,661.7,-3.37,3.72,nan
27,3481,,49.744,49.027,663.5,-5.22,5.76,nan
28,157,,52.054,47.758,698.0,17.8,19.72,nan
28,748,,50.49,51.616,673.0,-10.27,11.35,nan
28,1019,,49.812,49.935,669.4,-8.62,9.52,nan
28,2348,,50.19,49.947,663.9,-5.03,5.56,nan
29,157,,52.054,47.758,698.6,17.77,19.69,nan
29,748,,50.49,51.616,671.7,-9.43,10.42,nan
