routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.0,0.0,225
__check_action_completion,0.0,0.0,0.0,225
preplanner/__get_new_requests,0.0,0.0,0.0,225
preplanner/__update_performed_requests,0.0,0.0,0.0,225
preplanner/_update_access_times,0.044,0.652,0.0,225
preplanner/needs_planning,0.0,0.0,0.0,225
preplanner/_get_available_requests,0.0,0.0,0.0,1
preplanner/_schedule_measurements,0.12,0.0,0.12,1
preplanner/_schedule_broadcasts,0.019,0.0,0.019,2
preplanner/_schedule_maneuvers,0.068,0.0,0.068,1
preplanner/__schedule_periodic_replan,0.001,0.0,0.001,1
preplanner/generate_plan,0.21,0.0,0.21,1
replanner/__get_new_requests,0.0,0.0,0.0,225
replanner/__update_performed_requests,0.0,0.0,0.0,225
replanner/_update_access_times,0.033,0.487,0.0,225
