routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.00095,0.00517,2e-05,5187
__check_action_completion,6e-05,1e-05,6e-05,5187
preplanner/update_percepts,0.00014,9e-05,0.00013,5187
preplanner/needs_planning,0.0,0.0,0.0,5187
preplanner/calculate_access_opportunities,0.00369,0.0,0.00369,1
preplanner/_schedule_observations,0.04295,0.0,0.04295,1
preplanner/is_observation_path_valid,0.00089,0.0,0.00089,1
preplanner/_create_broadcast_path,0.00705,0.0,0.00705,1
preplanner/_schedule_broadcasts,0.03918,0.0,0.03918,1
preplanner/_schedule_maneuvers,0.18301,0.0,0.18301,1
preplanner/__schedule_periodic_replan,0.00729,0.0,0.00729,1
preplanner/generate_plan,0.2965,0.0,0.2965,1
replanner/needs_planning,0.0,0.0,0.0,5187
replanner/_create_broadcast_path,0.01206,0.00724,0.008,6
