routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.001,0.0,5187
update_state,0.0,0.0,0.0,5187
sense_environment,0.059,0.03,0.057,5187
update_state_environment,0.0,0.001,0.0,5187
get_environment_broadcasts,0.001,0.004,0.0,5187
get_agent_broadcasts,0.004,0.009,0.0,5187
sense,0.065,0.031,0.063,5187
think,0.035,0.022,0.031,5186
perform_broadcast,0.003,0.004,0.001,450
do,0.032,0.027,0.025,5186
perform_wait_for_messages,0.032,0.027,0.025,4736
perform_state_change,0.033,0.027,0.025,482
perform_observation,0.026,0.024,0.017,443
