routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.0,0.0,215
__check_action_completion,0.0,0.0,0.0,215
preplanner/__get_new_requests,0.0,0.0,0.0,215
preplanner/__update_performed_requests,0.001,0.016,0.0,215
preplanner/_update_access_times,0.05,0.729,0.0,215
preplanner/needs_planning,0.0,0.0,0.0,215
preplanner/_get_available_requests,0.0,0.0,0.0,1
preplanner/_schedule_measurements,0.629,0.0,0.629,1
preplanner/_schedule_broadcasts,0.212,0.193,0.212,2
preplanner/_schedule_maneuvers,0.12,0.0,0.12,1
preplanner/__schedule_periodic_replan,0.003,0.0,0.003,1
preplanner/generate_plan,1.163,0.0,1.163,1
replanner/__get_new_requests,0.0,0.0,0.0,215
replanner/__update_performed_requests,0.0,0.002,0.0,215
replanner/_update_access_times,0.252,1.659,0.0,215
replanner/_schedule_measurements,4.277,0.0,4.277,1
replanner/_schedule_broadcasts,0.575,0.13,0.575,2
replanner/_schedule_maneuvers,0.022,0.0,0.022,1
