routine,t_avg,t_std,t_med,n
__check_action_completion,0.0,0.0,0.0,240
_wait_for_messages,0.0,0.0,0.0,240
_preplan,0.063,0.05,0.038,4
_get_next_actions,0.0,0.0,0.0,240
preplanner/__get_new_requests,0.0,0.0,0.0,240
preplanner/__update_performed_requests,0.0,0.0,0.0,240
preplanner/_calc_arrival_times,0.231,0.072,0.225,363
preplanner/__update_access_times,0.35,2.697,0.0,240
preplanner/needs_initialized_plan,0.35,2.697,0.0,240
preplanner/_get_available_requests,0.0,0.0,0.0,4
preplanner/_plan_from_path,0.03,0.012,0.026,4
preplanner/initialize_plan,0.063,0.05,0.037,4
