routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.0,0.002,0.0,1169,0.2549791529709182
update_state,0.0,0.001,0.0,1169,0.16045581296020828
sense_environment,0.027,0.019,0.024,1169,32.12777942903267
update_state_environment,0.0,0.001,0.0,1169,0.20103211602690862
get_environment_broadcasts,0.001,0.003,0.0,1169,0.7811581560035847
get_agent_broadcasts,0.008,0.026,0.0,1169,9.773326628010182
sense,0.037,0.029,0.029,1169,43.40673893397251
think,0.04,0.038,0.029,1168,46.80901168703349
perform_broadcast,0.003,0.007,0.0,72,0.24451032500473957
do,0.04,0.035,0.03,1168,46.54501091302882
perform_wait_for_messages,0.043,0.035,0.035,1038,45.00732408096156
perform_state_change,0.032,0.022,0.024,74,2.358573281000645
perform_observation,0.016,0.014,0.01,68,1.107888771004582
