Satellite states as KEPLERIAN_EARTH_CENTERED_INERTIAL elements.
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,sma [km],ecc,inc [deg],raan [deg],aop [deg],ta [deg]
0,7077.9999999999945,0.009999999999999813,67.0,180.0,360.0,45.00000000000207
1,7077.999999999996,0.009999999999999992,67.0,179.9996869420309,359.9999052042083,45.61591717553323
2,7077.999999999997,0.01000000000000018,67.0,179.99937388173342,359.99981039688276,46.2317403878111
3,7077.9999999999945,0.009999999999999773,67.00000000000001,179.99906082221204,359.99971559340185,46.847468675674044
4,7077.999999999992,0.009999999999999754,66.99999999999999,179.99874776317574,359.99962079184326,47.4631010897451
5,7077.999999999998,0.009999999999999882,67.0,179.99843470386782,359.99952598951575,48.078636692531795
6,7077.999999999998,0.01000000000000026,67.0,179.99812164481216,359.9994311880852,48.694074558552195
7,7077.999999999992,0.009999999999999964,67.0,179.99780858540157,359.9993363866181,49.309413774405215
8,7077.999999999996,0.009999999999999959,67.0,179.99749552606033,359.9992415832059,49.92465343887611
9,7077.999999999997,0.01000000000000005,67.0,179.99718246702398,359.99914678191425,50.53979266305935
10,7077.9999999999945,0.009999999999999936,67.0,179.99686940773535,359.99905197941587,51.154830570426256
11,7077.999999999992,0.009999999999999445,66.99999999999999,179.99655634858075,359.9989571777873,51.769766296922924
12,7077.999999999995,0.010000000000000156,67.0,179.99624328933265,359.9988623755297,52.38459899107111
13,7077.999999999998,0.009999999999999858,67.0,179.9959302301917,359.99876757426676,52.99932781405014
14,7077.999999999996,0.010000000000000004,67.0,179.99561717088554,359.9986727718632,53.61395193979605
15,7077.9999999999945,0.00999999999999985,67.0,179.9953041116799,359.99857796982855,54.22847055506556
16,7077.999999999994,0.009999999999999972,67.0,179.99499105248327,359.99848316785346,54.842882859539934
17,7077.999999999997,0.009999999999999854,67.0,179.994677993294,359.998388365475,55.457188065895345
18,7077.999999999995,0.010000000000000123,67.0,179.99436493398153,359.9982935638285,56.07138539989537
19,7078.000000000002,0.010000000000000196,67.0,179.99405187487167,359.99819876178645,56.68547410044455
20,7077.999999999996,0.009999999999999369,67.0,179.99373881558478,359.9981039597928,57.29945341970434
21,7077.999999999997,0.00999999999999983,67.0,179.99342575636786,359.9980091578406,57.913322623121836
22,7078.000000000001,0.01000000000000017,67.0,179.9931126972113,359.9979143559241,58.52708098952971
