routine,t_avg,t_std,t_med,n
check_action_statuses,0.002,0.001,0.002,38
update_state,0.0,0.0,0.0,38
sense_environment,0.023,0.008,0.023,37
update_state_environment,0.001,0.0,0.0,37
get_environment_broadcasts,0.0,0.0,0.0,37
get_agent_broadcasts,0.0,0.0,0.0,37
sense,0.026,0.008,0.026,37
think,0.096,0.519,0.009,37
perform_state_change,0.008,0.004,0.007,34
do,0.013,0.004,0.012,37
perform_measurement,0.009,0.003,0.008,17
perform_broadcast,0.001,0.001,0.0,16
perform_wait_for_messages,0.012,0.005,0.012,2
