GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,lat [deg],lon [deg]
0,162,66.577,-161.219
0,793,65.159,-165.934
0,820,66.523,-160.131
0,1724,60.162,-158.747
0,2206,61.337,-160.092
0,2346,65.577,-163.09
0,2838,61.63,-160.439
0,2839,62.359,-146.628
0,3241,67.156,-163.735
0,3369,63.898,-152.119
0,3659,60.328,-158.784
0,3972,62.526,-146.777
0,4409,67.062,-154.334
0,4604,62.401,-145.999
1,162,66.577,-161.219
1,820,66.523,-160.131
1,2346,65.577,-163.09
1,2473,63.087,-142.675
1,2839,62.359,-146.628
1,3241,67.156,-163.735
1,3369,63.898,-152.119
1,3972,62.526,-146.777
1,4409,67.062,-154.334
2,162,66.577,-161.219
2,820,66.523,-160.131
2,2346,65.577,-163.09
2,2473,63.087,-142.675
2,2839,62.359,-146.628
2,3241,67.156,-163.735
2,3369,63.898,-152.119
2,3972,62.526,-146.777
2,4409,67.062,-154.334
3,162,66.577,-161.219
3,820,66.523,-160.131
3,2473,63.087,-142.675
3,2839,62.359,-146.628
3,3241,67.156,-163.735
3,3369,63.898,-152.119
3,3972,62.526,-146.777
3,4409,67.062,-154.334
4,162,66.577,-161.219
4,820,66.523,-160.131
4,2473,63.087,-142.675
4,3369,63.898,-152.119
4,3972,62.526,-146.777
4,4409,67.062,-154.334
4,4501,67.888,-139.148
4,4959,68.188,-140.241
4,4984,68.064,-140.178
5,2473,63.087,-142.675
5,3369,63.898,-152.119
5,3972,62.526,-146.777
5,4409,67.062,-154.334
5,4501,67.888,-139.148
5,4959,68.188,-140.241
5,4984,68.064,-140.178
6,1740,63.774,-135.367
6,2473,63.087,-142.675
6,2839,62.359,-146.628
6,3369,63.898,-152.119
6,3693,63.348,-135.882
6,3972,62.526,-146.777
6,4142,63.216,-134.818
6,4409,67.062,-154.334
6,4501,67.888,-139.148
6,4959,68.188,-140.241
6,4984,68.064,-140.178
7,1740,63.774,-135.367
7,2473,63.087,-142.675
7,2839,62.359,-146.628
7,3369,63.898,-152.119
7,3693,63.348,-135.882
7,3972,62.526,-146.777
7,4142,63.216,-134.818
7,4409,67.062,-154.334
7,4501,67.888,-139.148
7,4959,68.188,-140.241
7,4984,68.064,-140.178
8,608,68.667,-132.847
8,1740,63.774,-135.367
8,2473,63.087,-142.675
8,2637,68.989,-133.726
8,2766,67.975,-133.009
8,2839,62.359,-146.628
8,3369,63.898,-152.119
8,3693,63.348,-135.882
8,3972,62.526,-146.777
8,4142,63.216,-134.818
8,4409,67.062,-154.334
8,4452,68.153,-133.534
8,4501,67.888,-139.148
8,4959,68.188,-140.241
8,4984,68.064,-140.178
9,203,69.205,-132.466
9,218,69.541,-131.135
9,608,68.667,-132.847
9,1526,67.627,-131.848
9,1740,63.774,-135.367
9,2473,63.087,-142.675
9,2637,68.989,-133.726
9,2766,67.975,-133.009
9,2839,62.359,-146.628
9,3133,69.155,-131.949
9,3682,67.861,-131.19
9,3693,63.348,-135.882
9,3972,62.526,-146.777
9,4452,68.153,-133.534
9,4501,67.888,-139.148
9,4959,68.188,-140.241
9,4984,68.064,-140.178
10,203,69.205,-132.466
10,218,69.541,-131.135
10,608,68.667,-132.847
10,1526,67.627,-131.848
10,1740,63.774,-135.367
10,2473,63.087,-142.675
10,2637,68.989,-133.726
10,2766,67.975,-133.009
10,2839,62.359,-146.628
10,3081,69.621,-129.92
10,3133,69.155,-131.949
10,3682,67.861,-131.19
10,3693,63.348,-135.882
10,3972,62.526,-146.777
10,4452,68.153,-133.534
10,4501,67.888,-139.148
10,4604,62.401,-145.999
10,4745,69.419,-129.915
10,4959,68.188,-140.241
10,4984,68.064,-140.178
11,203,69.205,-132.466
11,218,69.541,-131.135
11,608,68.667,-132.847
11,1526,67.627,-131.848
11,1740,63.774,-135.367
11,2473,63.087,-142.675
11,2637,68.989,-133.726
11,2766,67.975,-133.009
11,2800,66.814,-128.513
11,2839,62.359,-146.628
11,3081,69.621,-129.92
11,3133,69.155,-131.949
11,3282,66.869,-128.825
11,3682,67.861,-131.19
11,3693,63.348,-135.882
11,3776,66.778,-129.31
11,3972,62.526,-146.777
11,4452,68.153,-133.534
11,4501,67.888,-139.148
11,4604,62.401,-145.999
11,4745,69.419,-129.915
11,4959,68.188,-140.241
11,4984,68.064,-140.178
12,203,69.205,-132.466
12,218,69.541,-131.135
12,608,68.667,-132.847
12,1502,67.553,-126.87
12,1526,67.627,-131.848
12,1740,63.774,-135.367
12,1912,66.255,-127.397
12,2473,63.087,-142.675
12,2518,68.201,-126.606
12,2637,68.989,-133.726
12,2766,67.975,-133.009
12,2800,66.814,-128.513
12,3081,69.621,-129.92
12,3133,69.155,-131.949
12,3282,66.869,-128.825
12,3441,65.896,-127.016
12,3682,67.861,-131.19
12,3693,63.348,-135.882
12,3776,66.778,-129.31
12,4233,66.987,-127.391
12,4452,68.153,-133.534
12,4501,67.888,-139.148
12,4557,65.972,-127.301
12,4733,67.826,-127.321
12,4745,69.419,-129.915
12,4959,68.188,-140.241
12,4984,68.064,-140.178
13,203,69.205,-132.466
13,218,69.541,-131.135
13,377,67.042,-125.258
13,385,67.238,-125.728
13,458,67.275,-126.236
13,597,66.994,-126.177
13,608,68.667,-132.847
13,968,65.504,-125.518
13,1392,65.306,-125.808
13,1502,67.553,-126.87
13,1526,67.627,-131.848
13,1740,63.774,-135.367
13,1912,66.255,-127.397
13,1970,68.613,-126.226
13,2197,66.27,-125.786
13,2221,67.421,-125.824
13,2473,63.087,-142.675
13,2518,68.201,-126.606
13,2637,68.989,-133.726
13,2766,67.975,-133.009
13,2800,66.814,-128.513
13,2921,67.957,-125.782
13,3081,69.621,-129.92
13,3133,69.155,-131.949
13,3282,66.869,-128.825
13,3441,65.896,-127.016
13,3451,65.187,-125.416
13,3682,67.861,-131.19
13,3693,63.348,-135.882
13,3776,66.778,-129.31
13,3968,68.01,-125.92
13,4118,68.697,-125.411
13,4228,69.356,-124.788
13,4233,66.987,-127.391
13,4322,67.676,-126.256
13,4452,68.153,-133.534
13,4501,67.888,-139.148
13,4557,65.972,-127.301
13,4566,69.085,-124.525
13,4733,67.826,-127.321
13,4745,69.419,-129.915
13,4959,68.188,-140.241
13,4984,68.064,-140.178
14,203,69.205,-132.466
14,218,69.541,-131.135
14,377,67.042,-125.258
14,385,67.238,-125.728
14,458,67.275,-126.236
14,512,67.453,-124.678
14,597,66.994,-126.177
14,608,68.667,-132.847
14,968,65.504,-125.518
14,1392,65.306,-125.808
14,1502,67.553,-126.87
14,1526,67.627,-131.848
14,1740,63.774,-135.367
14,1912,66.255,-127.397
14,1970,68.613,-126.226
14,2197,66.27,-125.786
14,2221,67.421,-125.824
14,2473,63.087,-142.675
14,2518,68.201,-126.606
14,2637,68.989,-133.726
14,2766,67.975,-133.009
14,2800,66.814,-128.513
14,2835,66.659,-124.13
14,2921,67.957,-125.782
14,3081,69.621,-129.92
14,3133,69.155,-131.949
14,3282,66.869,-128.825
14,3441,65.896,-127.016
14,3451,65.187,-125.416
14,3682,67.861,-131.19
14,3693,63.348,-135.882
14,3776,66.778,-129.31
14,3968,68.01,-125.92
14,4118,68.697,-125.411
14,4228,69.356,-124.788
14,4233,66.987,-127.391
14,4322,67.676,-126.256
14,4452,68.153,-133.534
14,4501,67.888,-139.148
14,4557,65.972,-127.301
14,4566,69.085,-124.525
14,4621,68.935,-124.378
14,4655,67.284,-124.865
