routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00232,0.02115,3e-05,12065,27.9908
__check_action_completion,0.00014,0.00017,9e-05,12065,1.6890999999999998
update_action_completion,0.00246,0.01759,0.00027,12065,29.6799
get_plan_out,0.00645,0.0212,0.00033,12065,77.81925
preplanner/update_percepts,0.00169,0.01321,0.00011,12065,20.389850000000003
preplanner/needs_planning,4e-05,0.00147,0.0,12065,0.48260000000000003
preplanner/calculate_access_opportunities,0.08173,0.0,0.08173,1,0.08173
preplanner/_schedule_observations,0.45663,0.0,0.45663,1,0.45663
preplanner/is_observation_path_valid,0.00072,0.0,0.00072,1,0.00072
preplanner/_create_broadcast_path,0.02499,0.0,0.02499,1,0.02499
preplanner/_schedule_broadcasts,0.31501,0.0,0.31501,1,0.31501
preplanner/_schedule_maneuvers,2.06384,0.0,2.06384,1,2.06384
preplanner/__schedule_periodic_replan,0.00793,0.0,0.00793,1,0.00793
preplanner/generate_plan,3.62461,0.0,3.62461,1,3.62461
replanner/needs_planning,2e-05,0.00057,0.0,12065,0.24130000000000001
reward_grid/update,0.00108,0.01006,1e-05,12066,13.03128
reward_grid/__get_target_indeces,0.00033,0.00732,1e-05,4433,1.46289
reward_grid/propagate_reward,0.00072,0.00791,3e-05,8866,6.383520000000001
reward_grid/update_observation,0.00275,0.01612,0.00014,4432,12.187999999999999
reward_grid/update_event,8e-05,0.0,8e-05,1,8e-05
reward_grid/get_history,0.08703,0.0,0.08703,1,0.08703
