routine,t_avg,t_std,t_med,n
check_action_statuses,0.008,0.071,0.0,5816
update_state,0.0,0.0,0.0,5816
sense_environment,0.158,0.159,0.136,5816
update_state_environment,0.002,0.021,0.0,5816
get_environment_broadcasts,0.006,0.021,0.0,5816
get_agent_broadcasts,0.066,0.44,0.0,5816
sense,0.241,0.53,0.16,5816
think,0.765,4.238,0.071,5815
perform_broadcast,0.008,0.049,0.0,568
do,0.435,2.843,0.081,5815
perform_wait_for_messages,0.556,3.263,0.115,4387
perform_state_change,0.084,0.106,0.045,757
perform_observation,0.077,0.059,0.064,1067
