routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,1e-05,0.0,1e-05,1,1e-05
__check_action_completion,1e-05,0.0,1e-05,1,1e-05
update_action_completion,1e-05,0.0,1e-05,1,1e-05
preplanner/update_percepts,1e-05,0.0,1e-05,1,1e-05
preplanner/needs_planning,0.0,0.0,0.0,1,0.0
preplanner/calculate_access_opportunities,0.43307,0.0,0.43307,1,0.43307
preplanner/_schedule_observations,1.70889,0.0,1.70889,1,1.70889
preplanner/is_observation_path_valid,0.00256,0.0,0.00256,1,0.00256
preplanner/_create_broadcast_path,0.01646,0.0,0.01646,1,0.01646
preplanner/_schedule_broadcasts,0.45556,0.0,0.45556,1,0.45556
reward_grid/update,0.0,0.0,0.0,2,0.0
reward_grid/get_history,0.00169,0.0,0.00169,1,0.00169
