ID,Requester,lat [deg],lon [deg],Severity,t start,t end,t corr,Measurment Types
d99d4974-7078-11ef-92d4-0a77b0016733,vis_sat_0_1,1.334640646022267,-104.85241683361652,41.35270510985298,1490.0,2317.756778755736,827.7567787557359,['sar']
dac5d236-7078-11ef-92d4-0a77b0016733,vis_sat_0_1,6.836615304292831,-102.87407635085684,81.02771134893257,1590.0,1866.5680739234413,276.56807392344126,['thermal']
f645caee-7078-11ef-92d4-0a77b0016733,vis_sat_0_0,24.4598910343791,32.69552784023552,97.54331985917966,8440.0,9001.539184053434,561.5391840534339,['thermal']
f8e905bb-7078-11ef-92d4-0a77b0016733,therm_sat_0_0,-58.668782437046005,88.99215708566383,20.40435402093148,8580.0,9004.357238045239,424.3572380452388,['sar']
0013e8bc-7079-11ef-92d4-0a77b0016733,sar_sat_0_0,65.261935211746,-74.11388041607664,73.3395858487259,10220.0,10433.856499495843,213.8564994958433,['thermal']
1bf3323d-7079-11ef-92d4-0a77b0016733,vis_sat_0_0,67.03511951564546,-75.83255216889829,75.37016200031007,19350.0,19962.69555526177,612.6955552617692,['thermal']
2382304d-7079-11ef-92d4-0a77b0016733,vis_sat_0_0,-21.74644423845755,-0.9929892290366272,50.02959275499877,21140.0,21186.447164704667,46.44716470466665,['sar']
23860e11-7079-11ef-92d4-0a77b0016733,vis_sat_0_1,55.5632588728785,-47.26175496021761,8.972474138079923,21150.0,21672.969648422528,522.9696484225278,['thermal']
2878009e-7079-11ef-92d4-0a77b0016733,sar_sat_0_0,60.06302557600967,-140.3889210826288,16.721904378691278,21920.0,22399.364184156588,479.3641841565877,['thermal']
2a969b08-7079-11ef-92d4-0a77b0016733,sar_sat_0_0,65.63248399656673,-73.39422260119441,49.803984518000256,22420.0,22664.19923778341,244.19923778341035,['thermal']
35311520-7079-11ef-92d4-0a77b0016733,sar_sat_0_0,59.69429981910962,-167.7525125486593,28.06936193574045,27830.0,28463.229167408368,633.2291674083681,['visual']
