stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
GPs Observed,3754
Observations,16356
Events,1000
Events Detected,176
Unique Event Observations,177
Total Event Observations,296
Events Co-observed,80
Events Partially Co-observed,0
Events Fully Co-observed,80
Total Event Co-observations,119
Total Runtime [s],8752.999
