stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
GPs Observed,3729
Observations,11090
Events,1000
Events Detected,132
Unique Event Observations,133
Total Event Observations,243
Events Co-observed,42
Events Partially Co-observed,0
Events Fully Co-observed,42
Total Event Co-observations,110
Total Runtime [s],9383.795
