routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.002,0.011,0.0,12090,25.742721441794856
update_state,0.001,0.005,0.0,12090,8.241133381317923
sense_environment,0.18,0.159,0.137,12089,2174.313547012276
update_state_environment,0.002,0.012,0.0,12089,23.850114806038615
get_environment_broadcasts,0.001,0.01,0.0,12089,14.886548310874787
get_agent_broadcasts,0.015,0.04,0.0,12089,178.15028087794053
sense,0.201,0.167,0.158,12089,2431.0785599864575
think,0.223,0.246,0.123,12089,2697.0786160098432
perform_broadcast,0.011,0.025,0.001,377,4.0051570709874795
do,0.19,0.181,0.138,12089,2296.0928742014657
perform_wait_for_messages,0.19,0.181,0.138,11712,2224.950257221328
perform_state_change,0.198,0.181,0.139,570,112.78893788293863
perform_observation,0.16,0.158,0.114,376,60.310010412911645
