routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00245,0.02324,3e-05,12089,29.61805
__check_action_completion,0.00017,0.00193,9e-05,12089,2.05513
update_action_completion,0.00234,0.01754,0.00027,12089,28.28826
get_plan_out,0.00604,0.02081,0.00033,12089,73.01756
preplanner/update_percepts,0.00171,0.0127,0.00012,12089,20.67219
preplanner/needs_planning,8e-05,0.0029,0.0,12089,0.9671200000000001
preplanner/calculate_access_opportunities,0.01316,0.0,0.01316,1,0.01316
preplanner/_schedule_observations,0.55358,0.0,0.55358,1,0.55358
preplanner/is_observation_path_valid,0.00074,0.0,0.00074,1,0.00074
preplanner/_create_broadcast_path,0.03842,0.0,0.03842,1,0.03842
preplanner/_schedule_broadcasts,0.57527,0.0,0.57527,1,0.57527
preplanner/_schedule_maneuvers,2.60389,0.0,2.60389,1,2.60389
preplanner/__schedule_periodic_replan,0.25806,0.0,0.25806,1,0.25806
preplanner/generate_plan,4.14973,0.0,4.14973,1,4.14973
replanner/needs_planning,2e-05,0.00056,0.0,12089,0.24178000000000002
reward_grid/update,0.00098,0.01016,1e-05,12090,11.8482
reward_grid/__get_target_indeces,0.00015,0.004,1e-05,4436,0.6654
reward_grid/propagate_reward,0.00061,0.00837,3e-05,8872,5.411919999999999
reward_grid/update_observation,0.00254,0.01636,0.00014,4435,11.2649
reward_grid/update_event,0.00013,0.0,0.00013,1,0.00013
reward_grid/get_history,0.09093,0.0,0.09093,1,0.09093
