routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.00022,0.00084,2e-05,58
__check_action_completion,6e-05,1e-05,6e-05,58
preplanner/update_percepts,3e-05,1e-05,2e-05,58
preplanner/needs_planning,0.0,0.0,0.0,58
preplanner/calculate_access_opportunities,0.00132,0.00074,0.0008,3
preplanner/populate_adjacency_matrix,0.00011,0.00012,6e-05,6
preplanner/is_observation_path_valid,1e-05,0.0,1e-05,21
preplanner/_schedule_observations,0.03171,0.01361,0.02298,3
preplanner/_schedule_broadcasts,1e-05,0.0,1e-05,3
preplanner/_schedule_maneuvers,0.00287,0.00061,0.0027,3
preplanner/__schedule_periodic_replan,7e-05,2e-05,6e-05,3
preplanner/generate_plan,0.03476,0.01424,0.02534,3
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,58
replanner/update_percepts,5e-05,2e-05,4e-05,58
replanner/check_request_completion,0.00762,0.00793,0.00438,58
replanner/check_request_end_time,0.0,0.0,0.0,58
replanner/compare_bids,0.00363,0.00569,0.0016,58
replanner/consensus_phase,0.01127,0.01098,0.0066,58
replanner/needs_planning,0.01129,0.01097,0.00661,58
replanner/_get_available_requests,0.00042,0.00034,0.00061,5
replanner/_generate_bids_from_request,1e-05,0.0,1e-05,4
replanner/_get_matching_request,1e-05,0.0,1e-05,12
replanner/_can_bid,1e-05,0.0,1e-05,4
replanner/_can_access,0.00066,6e-05,0.00068,3
replanner/_schedule_maneuvers,0.00099,0.00031,0.00099,2
replanner/_create_broadcast_path,0.00794,0.00136,0.00794,2
replanner/_schedule_broadcasts,0.00805,0.00138,0.00805,2
replanner/_schedule_waits,0.0,0.0,0.0,2
replanner/generate_plan,0.0099,0.00169,0.0099,2
