routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,520
update_state,0.0,0.0,0.0,520
sense_environment,0.048,0.025,0.042,519
update_state_environment,0.0,0.0,0.0,519
get_environment_broadcasts,0.0,0.0,0.0,519
get_agent_broadcasts,0.0,0.0,0.0,519
sense,0.049,0.025,0.042,519
think,0.183,3.337,0.025,519
perform_state_change,0.069,0.056,0.067,1744
do,0.246,0.341,0.066,519
perform_wait_for_messages,0.051,0.028,0.044,96
perform_measurement,0.016,0.014,0.011,84
perform_broadcast,0.001,0.001,0.0,5
