stat_name,val
Ground Points,5001.0
Ground Points Observed,455.0
Average Event Reobservation Time [s],4217.058823529412
Standard Deviation of Event Reobservation Time [s],2403.0832271354634
Median Event Reobservation Time [s],3050.0
Events,1929.0
Events Detected,50.0
Events Observed,56.0
Observations,472.0
Event Observations,59.0
Events Re-observed,3.0
Event Re-observations,6.0
Events Co-observed,56.0
Events Partially Co-observed,0.0
Events Fully Co-observed,3.0
Event Co-observations,59.0
P(Event Detected),0.02592
P(Event Observed),0.02903
P(Event Re-observed),0.00156
P(Event Co-observed),0.02903
P(Event Partially Co-observed),0.0
P(Event Fully Co-observed),0.00156
P(Event at a GP),0.38572
P(Event Observation | Observation),0.11864
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),0.04
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),0.0
P(Event Co-observed Fully | Event Detected),0.04
