routine,t_avg,t_std,t_med,n
check_action_statuses,0.004,0.014,0.0,1565
update_state,0.0,0.0,0.0,1565
sense_environment,0.193,0.127,0.189,1564
update_state_environment,0.001,0.008,0.0,1564
get_environment_broadcasts,0.0,0.0,0.0,1564
get_agent_broadcasts,0.001,0.025,0.0,1564
sense,0.199,0.148,0.193,1564
think,0.231,1.89,0.099,1564
perform_broadcast,0.021,0.053,0.0,280
do,0.683,0.881,0.173,1564
perform_wait_for_messages,0.757,0.895,0.227,1393
perform_state_change,0.784,0.919,0.224,1292
perform_measurement,0.094,0.083,0.051,78
