observer,t_img,lat,lon,range,look,incidence,zenith,instrument_name
vis_sat_0_1,1050.0,-23.4,-115.2,635.9,0.62,0.68,62.2,visual
sar_sat_0_0,1150.0,-58.9,120.4,725.3,1.92,2.13,52.84,sar
vis_sat_0_1,3240.0,60.6,17.5,722.3,0.66,0.73,,visual
sar_sat_0_0,4020.0,57.0,-77.1,671.1,3.72,4.11,,sar
vis_sat_0_0,6880.0,52.0,-96.7,663.3,2.43,2.68,,visual
vis_sat_0_0,6980.0,56.5,-90.3,670.2,2.95,3.25,,visual
therm_sat_0_0,7110.0,17.6,42.2,766.8,-0.84,0.94,,thermal
vis_sat_0_0,8550.0,18.7,35.8,766.6,1.83,2.05,,visual
vis_sat_0_1,9260.0,56.9,0.1,728.7,-0.57,0.64,,visual
vis_sat_0_1,9580.0,41.8,17.5,748.7,1.48,1.66,,visual
sar_sat_0_0,10110.0,63.0,-87.7,682.1,3.19,3.54,,sar
vis_sat_0_0,10350.0,-66.9,119.0,702.6,-1.3,1.44,45.4,visual
vis_sat_0_0,10840.0,-55.3,177.4,668.6,-3.84,4.24,44.56,visual
sar_sat_0_0,11180.0,36.7,15.1,756.5,4.8,5.36,,sar
vis_sat_0_1,11850.0,-66.9,119.0,699.9,1.45,1.61,44.55,visual
therm_sat_0_0,14810.0,-66.4,100.3,705.0,4.3,4.78,44.97,thermal
sar_sat_0_0,14880.0,3.1,-161.6,630.0,2.67,2.93,81.69,sar
vis_sat_0_1,15270.0,53.6,-19.3,734.4,1.66,1.86,,visual
vis_sat_0_0,15280.0,-24.6,27.3,764.4,3.78,4.23,80.48,visual
sar_sat_0_0,15330.0,28.8,-151.4,639.8,2.12,2.33,,sar
vis_sat_0_0,15510.0,-37.1,33.9,754.9,3.93,4.39,70.44,visual
