routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.002,0.011,0.0,12077,27.15447432611472
update_state,0.001,0.005,0.0,12077,8.716487970050366
sense_environment,0.179,0.16,0.136,12076,2165.8028642247664
update_state_environment,0.002,0.014,0.0,12076,24.13447204916156
get_environment_broadcasts,0.001,0.008,0.0,12076,11.63789033233843
get_agent_broadcasts,0.014,0.037,0.0,12076,174.37055591785975
sense,0.2,0.168,0.155,12076,2417.1408006959136
think,0.216,0.232,0.123,12076,2603.129545199212
perform_broadcast,0.012,0.029,0.001,344,4.195678380983736
do,0.199,0.19,0.145,12076,2403.721753979851
perform_wait_for_messages,0.199,0.191,0.144,11732,2334.910701210709
perform_state_change,0.198,0.192,0.143,541,107.2910609179562
perform_observation,0.171,0.163,0.127,343,58.55923055000312
