routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00212,0.02089,3e-05,12076,25.601119999999998
__check_action_completion,0.00016,0.0009,9e-05,12076,1.93216
update_action_completion,0.00221,0.01635,0.00026,12076,26.68796
get_plan_out,0.00614,0.02149,0.00032,12076,74.14663999999999
preplanner/update_percepts,0.00157,0.0141,0.00011,12076,18.95932
preplanner/needs_planning,3e-05,0.00156,0.0,12076,0.36228
preplanner/calculate_access_opportunities,0.03227,0.0,0.03227,1,0.03227
preplanner/_schedule_observations,0.64488,0.0,0.64488,1,0.64488
preplanner/is_observation_path_valid,0.00069,0.0,0.00069,1,0.00069
preplanner/_create_broadcast_path,0.03017,0.0,0.03017,1,0.03017
preplanner/_schedule_broadcasts,0.25055,0.0,0.25055,1,0.25055
preplanner/_schedule_maneuvers,2.03897,0.0,2.03897,1,2.03897
preplanner/__schedule_periodic_replan,0.05909,0.0,0.05909,1,0.05909
preplanner/generate_plan,3.01223,0.0,3.01223,1,3.01223
replanner/needs_planning,4e-05,0.00144,0.0,12076,0.48304
reward_grid/update,0.0011,0.01091,1e-05,12077,13.2847
reward_grid/__get_target_indeces,0.00038,0.00795,1e-05,4443,1.6883400000000002
reward_grid/propagate_reward,0.00061,0.00788,3e-05,8886,5.420459999999999
reward_grid/update_observation,0.00259,0.0165,0.00014,4442,11.50478
reward_grid/update_event,9e-05,0.0,9e-05,1,9e-05
reward_grid/get_history,0.24844,0.0,0.24844,1,0.24844
