routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.00471,0.01994,2e-05,5884
__check_action_completion,6e-05,1e-05,6e-05,5884
preplanner/update_percepts,0.0002,0.00011,0.00018,5884
preplanner/needs_planning,0.0,0.0,0.0,5884
preplanner/calculate_access_opportunities,0.23786,0.0,0.23786,1
preplanner/_schedule_observations,0.63157,0.0,0.63157,1
preplanner/is_observation_path_valid,0.00093,0.0,0.00093,1
preplanner/_create_broadcast_path,0.0118,0.0,0.0118,1
preplanner/_schedule_broadcasts,0.24149,0.0,0.24149,1
preplanner/_schedule_maneuvers,0.40237,0.0,0.40237,1
preplanner/__schedule_periodic_replan,0.01133,0.0,0.01133,1
preplanner/generate_plan,1.31792,0.0,1.31792,1
replanner/needs_planning,1e-05,0.0002,0.0,5884
replanner/_create_broadcast_path,0.00666,0.00052,0.00652,9
