routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,362
update_state,0.0,0.0,0.0,362
sense_environment,0.045,0.019,0.049,361
update_state_environment,0.0,0.0,0.0,361
get_environment_broadcasts,0.0,0.002,0.0,361
get_agent_broadcasts,0.0,0.002,0.0,361
sense,0.046,0.019,0.049,361
think,0.031,0.017,0.027,361
perform_wait_for_messages,0.025,0.02,0.017,346
do,0.025,0.02,0.017,361
perform_state_change,0.025,0.012,0.021,17
perform_observation,0.009,0.006,0.005,14
perform_broadcast,0.006,0.0,0.006,1
