routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.0,0.002,0.0,1131,0.22198865703649062
update_state,0.0,0.0,0.0,1131,0.13463861602031102
sense_environment,0.028,0.018,0.025,1130,31.924744428028134
update_state_environment,0.0,0.001,0.0,1130,0.18120301899762126
get_environment_broadcasts,0.001,0.003,0.0,1130,0.593353576001391
get_agent_broadcasts,0.008,0.025,0.0,1130,9.447032770003716
sense,0.038,0.029,0.031,1130,42.608074301997476
think,0.041,0.04,0.031,1130,46.47853169398877
perform_broadcast,0.003,0.005,0.0,82,0.20627552598125476
do,0.042,0.034,0.035,1130,47.67120398899897
perform_wait_for_messages,0.045,0.034,0.038,1026,46.63927349194637
perform_state_change,0.032,0.018,0.029,46,1.4556505879900214
perform_observation,0.016,0.013,0.01,42,0.6527717820044927
