routine,t_avg,t_std,t_med,n,t_total
get_current_time,0.0,0.0,0.0,1135258,0.0
get_updated_orbit_state,0.034,0.035,0.025,23064,784.176
update_agent_state,0.01,0.024,0.0,81079,810.79
check_agent_connectivity,0.0,0.0,0.0,567553,0.0
update_agent_connectivity,0.0,0.001,0.0,81079,0.0
handle_agent_state,0.01,0.025,0.0,81079,810.79
vis_sat_0_1,0.015,0.029,0.002,10583,158.745
handle_agent_request,0.017,0.031,0.004,84424,1435.208
handle_request,0.016,0.029,0.003,94991,1519.856
therm_sat_1_0,0.015,0.028,0.002,10536,158.04
therm_sat_0_0,0.015,0.028,0.002,10554,158.31
vis_sat_0_0,0.015,0.028,0.002,10600,159.0
vis_sat_1_0,0.015,0.03,0.002,10546,158.19
vis_sat_1_1,0.015,0.027,0.002,10538,158.07
sar_sat_0_0,0.015,0.03,0.002,10522,157.82999999999998
sar_sat_1_0,0.015,0.032,0.002,10545,158.17499999999998
handle_agent_broadcast,0.002,0.009,0.0,4291,8.582
handle_manager_broadcast,0.002,0.008,0.001,6276,12.552
query_measurement_data,0.006,0.015,0.002,3345,20.07
handle_observation,0.013,0.023,0.004,3345,43.485
