observer,t_img,lat,lon,range,look,incidence,zenith,instrument_name
vis_sat_0_0,800.0,44.273,-78.749,653.8,-1.72,1.9,,visual
vis_sat_1_0,1370.0,66.452,149.906,692.3,1.01,1.13,,visual
vis_sat_1_0,1500.0,67.299,169.268,703.5,3.63,4.03,,visual
vis_sat_0_0,1820.0,58.985,27.731,725.5,1.26,1.41,,visual
vis_sat_0_0,2160.0,43.279,47.508,747.1,1.5,1.68,,visual
vis_sat_0_1,2540.0,57.298,-68.616,671.9,-2.86,3.16,,visual
vis_sat_1_1,3220.0,61.584,-163.911,722.3,3.52,3.92,87.74,visual
sar_sat_1_0,3270.0,17.403,73.753,632.9,0.49,0.54,,sar
vis_sat_0_1,3360.0,55.606,27.106,730.7,-1.09,1.22,,visual
sar_sat_1_0,3550.0,33.031,80.59,643.3,2.73,3.01,,sar
vis_sat_0_1,3560.0,46.259,38.289,743.5,-1.34,1.5,,visual
vis_sat_0_1,3560.0,46.252,38.303,743.4,-1.3,1.45,,visual
