routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.001,0.012,0.0,2781
__check_action_completion,0.002,0.014,0.0,2781
replanner/__get_new_requests,0.0,0.0,0.0,2781
replanner/__update_performed_requests,0.0,0.0,0.0,2781
replanner/_update_access_times,0.056,0.75,0.0,2781
replanner/update_percepts,0.194,0.798,0.001,2781
replanner/compile_external_plan_bids,0.0,0.0,0.0,2781
replanner/compile_new_measurement_request_bids,0.002,0.016,0.0,2781
replanner/check_request_completion,0.0,0.002,0.0,2781
replanner/check_request_end_time,0.0,0.004,0.0,2781
replanner/compare_bids,0.135,0.316,0.014,2781
replanner/consensus_phase,0.135,0.316,0.014,2781
replanner/needs_planning,0.598,0.611,0.37,2781
replanner/_get_available_requests,1.041,0.615,1.019,389
replanner/calc_imaging_time,0.213,0.386,0.048,3450
replanner/planning_phase,5.473,3.693,5.215,386
replanner/_schedule_measurements,0.047,0.071,0.015,842
replanner/_schedule_broadcasts,0.18,0.294,0.047,842
replanner/_schedule_maneuvers,0.415,0.522,0.202,842
replanner/_schedule_waits,0.0,0.0,0.0,842
replanner/_plan_from_path,0.644,0.669,0.416,842
replanner/generate_plan,3.646,3.561,2.462,842
