plan_index,t_plan,req_id,subtask_index,t_img,u_exp
81,1850.0,8806ece4,2,2620.0,0.323
82,1850.0,8806ed0f,2,2400.0,0.324
82,1850.0,8806ece4,2,2620.0,0.323
83,1850.0,8806ed0f,2,2400.0,0.324
83,1850.0,8806ece4,2,2620.0,0.323
84,1890.0,8806ed0f,2,2400.0,0.324
84,1890.0,8806ece4,2,2620.0,0.323
85,1890.0,8806ed0f,2,2400.0,0.324
85,1890.0,8806ece4,2,2620.0,0.323
86,1890.0,8806ed0f,2,2400.0,0.324
86,1890.0,8806ece4,2,2620.0,0.323
87,2050.0,8806ed0f,2,2400.0,0.324
87,2050.0,8806ece4,2,2620.0,0.323
88,2050.0,8806ed0f,2,2400.0,0.324
88,2050.0,8806ece4,2,2620.0,0.323
89,2110.0,8806ed0f,2,2400.0,0.324
89,2110.0,8806ece4,2,2620.0,0.323
90,2110.0,8806ed0f,2,2400.0,0.324
90,2110.0,8806ece4,2,2620.0,0.323
91,2110.0,8806ed0f,2,2400.0,0.324
91,2110.0,8806ece4,2,2620.0,0.323
92,2400.0,8806ece4,2,2620.0,0.323
92,2400.0,8806ecc4,2,2770.0,0.323
92,2400.0,8806ecc6,2,2800.0,0.323
93,2400.0,8806ece4,2,2620.0,0.323
93,2400.0,8806ecc4,2,2770.0,0.323
93,2400.0,8806ecc6,2,2800.0,0.323
94,2400.0,8806ece4,2,2620.0,0.323
94,2400.0,8806ecc4,2,2770.0,0.323
94,2400.0,8806ecc6,2,2800.0,0.323
95,2620.0,8806ecc4,2,2770.0,0.323
95,2620.0,8806ecc6,2,2800.0,0.323
95,2620.0,8806ed0b,2,7090.0,0.306
96,2620.0,8806ecc4,2,2770.0,0.323
96,2620.0,8806ecc6,2,2800.0,0.323
96,2620.0,8806ed0b,2,7090.0,0.306
97,2620.0,8806ecc4,2,2770.0,0.323
97,2620.0,8806ecc6,2,2800.0,0.323
97,2620.0,8806ed0b,2,7090.0,0.306
98,2620.0,8806ecc4,2,2770.0,0.323
98,2620.0,8806ecc6,2,2800.0,0.323
98,2620.0,8806ed0b,2,7090.0,0.306
99,2770.0,8806ecc6,2,2800.0,0.323
99,2770.0,8806ed0b,2,7090.0,0.306
99,2770.0,8806ece8,2,7370.0,0.305
100,2770.0,8806ecc6,2,2800.0,0.323
100,2770.0,8806ed0b,2,7090.0,0.306
100,2770.0,8806ece8,2,7370.0,0.305
101,2770.0,8806ecc6,2,2800.0,0.323
101,2770.0,8806ed0b,2,7090.0,0.306
101,2770.0,8806ece8,2,7370.0,0.305
102,2790.0,8806ecc6,2,2800.0,0.323
102,2790.0,8806ed0b,2,7090.0,0.306
102,2790.0,8806ece8,2,7370.0,0.305
103,2790.0,8806ecc6,2,2800.0,0.323
103,2790.0,8806ed0b,2,7090.0,0.306
103,2790.0,8806ece8,2,7370.0,0.305
104,2790.0,8806ecc6,2,2800.0,0.323
104,2790.0,8806ed0b,2,7090.0,0.306
104,2790.0,8806ece8,2,7370.0,0.305
105,2800.0,8806ed0b,2,7090.0,0.306
105,2800.0,8806ece8,2,7370.0,0.305
106,2800.0,8806ed0b,2,7090.0,0.306
106,2800.0,8806ece8,2,7370.0,0.305
107,2800.0,8806ed0b,2,7090.0,0.306
107,2800.0,8806ece8,2,7370.0,0.305
108,2830.0,8806ed0b,2,7090.0,0.306
108,2830.0,8806ece8,2,7370.0,0.305
109,2830.0,8806ed0b,2,7090.0,0.306
109,2830.0,8806ece8,2,7370.0,0.305
110,2860.0,8806ed0b,2,7090.0,0.306
110,2860.0,8806ece8,2,7370.0,0.305
