routine,t_avg,t_std,t_med,n
check_action_statuses,0.01,0.032,0.0,2377
update_state,0.0,0.0,0.0,2377
sense_environment,0.344,0.243,0.292,2376
update_state_environment,0.006,0.024,0.0,2376
get_environment_broadcasts,0.0,0.0,0.0,2376
get_agent_broadcasts,0.0,0.002,0.0,2376
sense,0.361,0.256,0.305,2376
think,0.773,1.156,0.459,2376
perform_broadcast,0.021,0.049,0.0,2406
do,0.24,2.929,0.061,2376
perform_wait_for_messages,0.305,3.496,0.076,1663
perform_state_change,0.313,3.55,0.084,1613
perform_measurement,0.107,0.104,0.068,35
