routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.001,0.0,1582
__check_action_completion,0.0,0.002,0.0,1582
replanner/__get_new_requests,0.0,0.0,0.0,1582
replanner/__update_performed_requests,0.0,0.0,0.0,1582
replanner/_update_access_times,0.015,0.533,0.0,1582
replanner/update_percepts,0.015,0.533,0.0,1582
replanner/compile_external_plan_bids,0.0,0.0,0.0,1582
replanner/compile_new_measurement_request_bids,0.001,0.001,0.001,1582
replanner/check_request_completion,0.0,0.0,0.0,1582
replanner/check_request_end_time,0.0,0.0,0.0,1582
replanner/compare_bids,0.007,0.163,0.0,1582
replanner/consensus_phase,0.007,0.163,0.0,1582
replanner/needs_planning,0.051,0.178,0.024,1582
replanner/calc_imaging_time,0.015,0.08,0.01,3624
replanner/calc_path_bid,0.029,0.095,0.02,3624
replanner/planning_phase,1.941,4.81,1.427,90
replanner/_schdule_measurements,0.003,0.018,0.0,90
replanner/_schedule_broadcasts,0.042,0.047,0.033,90
replanner/_schedule_maneuvers,0.015,0.027,0.01,90
replanner/_plan_from_path,0.063,0.082,0.043,90
replanner/generate_plan,2.004,4.865,1.471,90
