alt [km],inc [deg],num sats,num planes,num planes [norm],phasing param,phasing [deg],max lcc [norm],max lcc frac,avg lcc [norm],avg num components
550.0,98.0,8,6,0.75,0,0.0,1.0,0.5662975157138581,0.6747231367853936,3.168512421430709
550.0,98.0,8,6,0.75,1,45.0,0.875,0.004788985333732416,0.5787937743190662,2.984735109248728
550.0,98.0,8,6,0.75,2,90.0,0.625,0.016761448668063453,0.3858500448967375,4.67883867105657
550.0,98.0,8,6,0.75,3,135.0,0.5,0.13588745884465728,0.3380724334031727,4.875486381322958
550.0,98.0,8,6,0.75,4,180.0,0.5,0.28584256210715353,0.35367404968572286,4.083507931756959
550.0,98.0,8,6,0.75,5,225.0,0.5,0.20712361568392698,0.37731966477102663,4.411852738700988
550.0,98.0,8,6,0.75,6,270.0,0.625,0.018258006584854835,0.38603711463633644,4.681532475306795
550.0,98.0,8,6,0.75,7,315.0,0.375,0.5052379527087698,0.3131547440885962,5.234660281352888
550.0,98.0,8,7,0.875,0,0.0,1.0,0.7108650104759054,0.7831487578569291,2.7348099371445675
550.0,98.0,8,7,0.875,1,45.0,0.75,0.16162825501346903,0.5456824304100568,2.868901526489075
550.0,98.0,8,7,0.875,2,90.0,0.375,0.4495659982041305,0.30619574977551633,5.457946722538162
550.0,98.0,8,7,0.875,3,135.0,0.5,0.09099072134091589,0.35565698892547143,4.673151750972763
550.0,98.0,8,7,0.875,4,180.0,0.625,0.3226578868602215,0.47324902723735407,4.13888057467824
550.0,98.0,8,7,0.875,5,225.0,0.5,0.11134390900927867,0.3513169709667764,4.565698892547141
550.0,98.0,8,7,0.875,6,270.0,0.5,0.009877282250823106,0.33025291828793774,4.9733612690811135
550.0,98.0,8,7,0.875,7,315.0,0.5,0.16282550134690213,0.3521026638730919,5.565698892547141
550.0,98.0,8,8,1.0,0,0.0,1.0,1.0,1.0,1.0
550.0,98.0,8,8,1.0,1,45.0,1.0,0.4785992217898833,0.7007258305896438,2.0428015564202333
550.0,98.0,8,8,1.0,2,90.0,0.25,0.6869200838072433,0.21086501047590542,6.213109847351093
550.0,98.0,8,8,1.0,3,135.0,0.375,0.12002394492666867,0.2650029931158336,4.726429212810536
550.0,98.0,8,8,1.0,4,180.0,1.0,0.052978150254414845,0.3077297216402275,5.4471715055372645
550.0,98.0,8,8,1.0,5,225.0,0.25,1.0,0.25,5.341215205028434
550.0,98.0,8,8,1.0,6,270.0,0.25,0.9760550733313379,0.24700688416641725,5.056569889254714
550.0,98.0,8,8,1.0,7,315.0,0.25,1.0,0.25,6.966477102663873
550.0,98.0,12,1,0.08333333333333333,0,0.0,1.0,1.0,1.0,1.0
550.0,98.0,12,2,0.16666666666666666,0,0.0,1.0,0.45734809937144566,0.5697395989224783,3.4690212511224185
550.0,98.0,12,2,0.16666666666666666,1,30.0,1.0,0.4546542951212212,0.5680434999501148,3.4669260700389106
550.0,98.0,12,2,0.16666666666666666,2,60.0,1.0,0.45854534570487876,0.5707871894642322,3.4669260700389106
550.0,98.0,12,2,0.16666666666666666,3,90.0,1.0,0.4546542951212212,0.5684924673251521,3.4678240047889854
550.0,98.0,12,2,0.16666666666666666,4,120.0,1.0,0.4591439688715953,0.5712860421031627,3.4678240047889854
550.0,98.0,12,2,0.16666666666666666,6,180.0,1.0,0.45375636037114636,0.5700389105058365,3.4714157437892847
550.0,98.0,12,2,0.16666666666666666,7,210.0,1.0,0.45255911403771326,0.5693405168113339,3.4699191858724934
550.0,98.0,12,2,0.16666666666666666,8,240.0,1.0,0.4591439688715953,0.571585353686521,3.466327446872194
550.0,98.0,12,2,0.16666666666666666,9,270.0,1.0,0.45615085303801256,0.5698393694502644,3.466028135288836
550.0,98.0,12,2,0.16666666666666666,11,330.0,1.0,0.45495360670457946,0.5681432704779008,3.4678240047889854
550.0,98.0,12,3,0.25,0,0.0,0.5,0.00299311583358276,0.2151052579068143,7.1367853935947325
550.0,98.0,12,3,0.25,1,30.0,0.25,0.8111343909009279,0.234261199241744,7.349296617779108
550.0,98.0,12,3,0.25,2,60.0,0.3333333333333333,0.6758455552229872,0.3063204629352489,6.66327446872194
550.0,98.0,12,3,0.25,3,90.0,0.5,0.000598623166716552,0.21567893844158434,7.133193654594433
550.0,98.0,12,3,0.25,4,120.0,0.25,0.8126309488177192,0.23438591240147658,7.348099371445675
550.0,98.0,12,3,0.25,6,180.0,0.4166666666666667,0.00149655791679138,0.21490571685124216,7.135588147261299
550.0,98.0,12,3,0.25,7,210.0,0.25,0.8072433403172703,0.23393694502643916,7.347500748278958
550.0,98.0,12,3,0.25,8,240.0,0.3333333333333333,0.6701586351391798,0.30584655292826496,6.662975157138582
550.0,98.0,12,3,0.25,9,270.0,0.5,0.002394492666866208,0.2155043400179587,7.134690212511225
550.0,98.0,12,3,0.25,11,330.0,0.3333333333333333,0.6755462436396289,0.30629552030330237,6.662975157138582
550.0,98.0,12,4,0.3333333333333333,0,0.0,0.3333333333333333,1.0,0.3333333333333333,5.684824902723736
550.0,98.0,12,4,0.3333333333333333,1,30.0,0.3333333333333333,0.4765040407063753,0.2897086700588646,5.508530380125711
550.0,98.0,12,4,0.3333333333333333,2,60.0,0.5,0.5222987129601916,0.3456549935149157,4.3163723436096975
550.0,98.0,12,4,0.3333333333333333,3,90.0,0.3333333333333333,0.4705178090392098,0.2892098174199342,5.508829691709069
550.0,98.0,12,4,0.3333333333333333,4,120.0,0.3333333333333333,1.0,0.3333333333333333,5.680035917390003
550.0,98.0,12,4,0.3333333333333333,6,180.0,0.5,0.5193055971266088,0.34311084505637035,4.317868901526489
550.0,98.0,12,4,0.3333333333333333,7,210.0,0.3333333333333333,0.4765040407063753,0.2897086700588646,5.508530380125711
550.0,98.0,12,4,0.3333333333333333,8,240.0,0.3333333333333333,1.0,0.3333333333333333,5.680933852140078
550.0,98.0,12,4,0.3333333333333333,9,270.0,0.3333333333333333,0.4705178090392098,0.2892098174199342,5.508829691709069
550.0,98.0,12,4,0.3333333333333333,11,330.0,0.3333333333333333,0.47770128703980846,0.28980844058665073,5.508530380125711
550.0,98.0,12,5,0.4166666666666667,0,0.0,1.0,0.16252618976354385,0.49246732515214997,4.888057467824005
550.0,98.0,12,5,0.4166666666666667,1,30.0,0.5,0.4357976653696498,0.4333034021749975,4.526489075127207
550.0,98.0,12,5,0.4166666666666667,2,60.0,0.5833333333333334,0.18317868901526488,0.3915244936645715,4.421730020951811
550.0,98.0,12,5,0.4166666666666667,3,90.0,0.5,0.06315474408859623,0.32223386211713057,5.417240347201437
550.0,98.0,12,5,0.4166666666666667,4,120.0,0.5,0.03561807841963484,0.3030529781502544,5.416043100868004
550.0,98.0,12,5,0.4166666666666667,6,180.0,1.0,0.15983238551331935,0.4534570487877881,4.884765040407064
550.0,98.0,12,5,0.4166666666666667,7,210.0,0.4166666666666667,0.7372044298114337,0.38646113937942733,4.526489075127207
550.0,98.0,12,5,0.4166666666666667,8,240.0,0.5833333333333334,0.06255612092187968,0.3721191260101766,4.422328644118528
550.0,98.0,12,5,0.4166666666666667,9,270.0,0.5,0.059862316671655195,0.3192407462835478,5.4178389703681535
550.0,98.0,12,5,0.4166666666666667,11,330.0,0.5833333333333334,0.12481293026040108,0.43953906016162825,4.2870398084405865
550.0,98.0,12,7,0.5833333333333334,0,0.0,1.0,0.7108650104759054,0.7590541753965878,2.7348099371445675
550.0,98.0,12,7,0.5833333333333334,1,30.0,0.9166666666666666,0.026339419335528285,0.6488825700887957,3.102963184675247
550.0,98.0,12,7,0.5833333333333334,2,60.0,0.6666666666666666,0.2666866207722239,0.49174398882570086,4.123316372343609
550.0,98.0,12,7,0.5833333333333334,3,90.0,0.3333333333333333,0.6474109548039509,0.2951711064551531,5.457946722538162
550.0,98.0,12,7,0.5833333333333334,4,120.0,0.4166666666666667,0.486979946123915,0.3411653197645416,4.958695001496558
550.0,98.0,12,7,0.5833333333333334,6,180.0,0.5833333333333334,0.3226578868602215,0.38718447570587644,4.13888057467824
550.0,98.0,12,7,0.5833333333333334,7,210.0,0.5,0.13349296617779108,0.42005886461139375,3.789583956899132
550.0,98.0,12,7,0.5833333333333334,8,240.0,0.4166666666666667,0.5426519006285543,0.35076823306395294,4.791978449565998
550.0,98.0,12,7,0.5833333333333334,9,270.0,0.5,0.009877282250823106,0.31602314676244636,4.9733612690811135
550.0,98.0,12,7,0.5833333333333334,11,330.0,0.9166666666666666,0.08560311284046693,0.6444178389703682,3.388506435199042
550.0,98.0,12,8,0.6666666666666666,0,0.0,1.0,1.0,1.0,1.0
550.0,98.0,12,8,0.6666666666666666,1,30.0,0.8333333333333334,0.08560311284046693,0.6516761448668064,2.832984136486082
550.0,98.0,12,8,0.6666666666666666,2,60.0,0.5,0.41664172403472016,0.40287339120023946,5.158934450763245
550.0,98.0,12,8,0.6666666666666666,3,90.0,0.3333333333333333,0.10625561209218796,0.2327646413249526,6.213109847351093
550.0,98.0,12,8,0.6666666666666666,4,120.0,0.4166666666666667,0.26459143968871596,0.31280554724134496,4.858425621071535
550.0,98.0,12,8,0.6666666666666666,6,180.0,1.0,0.052978150254414845,0.3320363164721142,5.4471715055372645
550.0,98.0,12,8,0.6666666666666666,7,210.0,0.5,0.5279856330439988,0.4227776114935648,4.120023944926668
550.0,98.0,12,8,0.6666666666666666,8,240.0,0.4166666666666667,0.26459143968871596,0.31303003092886367,5.460939838371745
550.0,98.0,12,8,0.6666666666666666,9,270.0,0.3333333333333333,0.24633343310386113,0.2685323755362666,5.056569889254714
550.0,98.0,12,8,0.6666666666666666,11,330.0,0.8333333333333334,0.14277162526189763,0.6267335129202835,3.442083208620174
550.0,98.0,12,9,0.75,0,0.0,1.0,1.0,1.0,1.0
550.0,98.0,12,9,0.75,1,30.0,1.0,0.6827297216402275,0.8877581562406465,1.3172702783597725
550.0,98.0,12,9,0.75,2,60.0,0.5,0.28434600419036216,0.36895141175296814,6.01556420233463
550.0,98.0,12,9,0.75,3,90.0,0.3333333333333333,0.6758455552229872,0.30632046293524895,6.15983238551332
550.0,98.0,12,9,0.75,4,120.0,0.3333333333333333,0.8572283747381023,0.30953806245635035,4.976055073331338
550.0,98.0,12,9,0.75,6,180.0,0.5833333333333334,0.40796168811733013,0.42479796468123315,4.620772223885064
550.0,98.0,12,9,0.75,7,210.0,0.5,0.16641724034720143,0.36378828694003784,4.793175695899431
550.0,98.0,12,9,0.75,8,240.0,0.3333333333333333,0.8572283747381023,0.30953806245635035,5.345106255612092
550.0,98.0,12,9,0.75,9,270.0,0.5,0.0050882969170906915,0.31512521201237154,5.1116432205926365
550.0,98.0,12,9,0.75,11,330.0,0.8333333333333334,0.07871894642322658,0.6417739199840367,2.9407363064950616
550.0,98.0,12,10,0.8333333333333334,0,0.0,1.0,1.0,1.0,1.0
550.0,98.0,12,10,0.8333333333333334,1,30.0,1.0,1.0,1.0,1.0
550.0,98.0,12,10,0.8333333333333334,2,60.0,0.5,0.04998503442083209,0.2936496059064152,6.903322358575277
550.0,98.0,12,10,0.8333333333333334,3,90.0,0.5833333333333334,0.001197246333433104,0.3510924872792577,5.685423525890452
550.0,98.0,12,10,0.8333333333333334,4,120.0,0.4166666666666667,0.30948817719245736,0.3486231667165519,4.943729422328644
550.0,98.0,12,10,0.8333333333333334,6,180.0,0.5,0.45615085303801256,0.3401925571186271,5.062256809338521
550.0,98.0,12,10,0.8333333333333334,7,210.0,0.5833333333333334,0.109548039509129,0.36533473012072226,4.660879976055074
550.0,98.0,12,10,0.8333333333333334,8,240.0,0.4166666666666667,0.30948817719245736,0.34854833882071234,5.317270278359772
550.0,98.0,12,10,0.8333333333333334,9,270.0,0.5833333333333334,0.0038910505836575876,0.3350543749376434,5.279257707273271
550.0,98.0,12,10,0.8333333333333334,11,330.0,1.0,0.0038910505836575876,0.6110944826898134,2.479497156539958
550.0,98.0,12,12,1.0,0,0.0,1.0,1.0,1.0,1.0
550.0,98.0,12,12,1.0,1,30.0,1.0,1.0,1.0,1.0
550.0,98.0,12,12,1.0,2,60.0,0.3333333333333333,0.33852140077821014,0.22308690012970167,8.089793475007482
550.0,98.0,12,12,1.0,3,90.0,1.0,0.038311882669859326,0.256485084306096,5.1137384016761445
550.0,98.0,12,12,1.0,4,120.0,0.6666666666666666,0.2607003891050584,0.42023346303501946,5.842861418736905
550.0,98.0,12,12,1.0,6,180.0,1.0,0.19724633343310385,0.5000997705277861,4.167315175097277
550.0,98.0,12,12,1.0,7,210.0,0.3333333333333333,0.07003891050583658,0.24797964681233164,5.598623166716552
550.0,98.0,12,12,1.0,8,240.0,0.3333333333333333,1.0,0.3333333333333333,5.801257108650105
550.0,98.0,12,12,1.0,9,270.0,0.25,0.570487877880874,0.209318567295221,5.944028733912003
550.0,98.0,12,12,1.0,11,330.0,1.0,1.0,1.0,1.0
550.0,98.0,48,1,0.020833333333333332,0,0.0,1.0,1.0,1.0,1.0
550.0,98.0,48,6,0.125,0,0.0,1.0,1.0,1.0,1.0
550.0,98.0,48,6,0.125,5,37.5,1.0,1.0,1.0,1.0
550.0,98.0,48,6,0.125,10,75.0,1.0,1.0,1.0,1.0
550.0,98.0,48,6,0.125,15,112.5,1.0,1.0,1.0,1.0
550.0,98.0,48,6,0.125,20,150.0,1.0,1.0,1.0,1.0
550.0,98.0,48,6,0.125,26,195.0,1.0,1.0,1.0,1.0
550.0,98.0,48,6,0.125,31,232.5,1.0,1.0,1.0,1.0
550.0,98.0,48,6,0.125,36,270.0,1.0,1.0,1.0,1.0
550.0,98.0,48,6,0.125,41,307.5,1.0,1.0,1.0,1.0
550.0,98.0,48,6,0.125,47,352.5,1.0,1.0,1.0,1.0
550.0,98.0,48,11,0.22916666666666666,0,0.0,1.0,0.005387608500448967,0.5248740397086701,2.47051780903921
550.0,98.0,48,11,0.22916666666666666,5,37.5,1.0,1.0,1.0,1.0
550.0,98.0,48,11,0.22916666666666666,10,75.0,1.0,1.0,1.0,1.0
550.0,98.0,48,11,0.22916666666666666,15,112.5,1.0,1.0,1.0,1.0
550.0,98.0,48,11,0.22916666666666666,20,150.0,1.0,0.9353486979946124,0.9685161628255013,1.0646513020053876
550.0,98.0,48,11,0.22916666666666666,26,195.0,1.0,1.0,1.0,1.0
550.0,98.0,48,11,0.22916666666666666,31,232.5,1.0,1.0,1.0,1.0
550.0,98.0,48,11,0.22916666666666666,36,270.0,1.0,0.01346902125112242,0.5067345106255612,2.460939838371745
550.0,98.0,48,11,0.22916666666666666,41,307.5,1.0,1.0,1.0,1.0
550.0,98.0,48,11,0.22916666666666666,47,352.5,1.0,1.0,1.0,1.0
550.0,98.0,48,16,0.3333333333333333,0,0.0,0.6666666666666666,0.7635438491469619,0.5878479497156539,2.236456150853038
550.0,98.0,48,16,0.3333333333333333,5,37.5,1.0,1.0,1.0,1.0
550.0,98.0,48,16,0.3333333333333333,10,75.0,1.0,1.0,1.0,1.0
550.0,98.0,48,16,0.3333333333333333,15,112.5,1.0,1.0,1.0,1.0
550.0,98.0,48,16,0.3333333333333333,20,150.0,1.0,1.0,1.0,1.0
550.0,98.0,48,16,0.3333333333333333,26,195.0,1.0,1.0,1.0,1.0
550.0,98.0,48,16,0.3333333333333333,31,232.5,1.0,1.0,1.0,1.0
550.0,98.0,48,16,0.3333333333333333,36,270.0,1.0,1.0,1.0,1.0
550.0,98.0,48,16,0.3333333333333333,41,307.5,1.0,1.0,1.0,1.0
550.0,98.0,48,16,0.3333333333333333,47,352.5,1.0,1.0,1.0,1.0
550.0,98.0,48,21,0.4375,0,0.0,1.0,0.25321759952110146,0.6732826997904819,1.7467824004788985
550.0,98.0,48,21,0.4375,5,37.5,1.0,1.0,1.0,1.0
550.0,98.0,48,21,0.4375,10,75.0,1.0,0.9928165219994014,0.9964082609997007,1.0071834780005986
550.0,98.0,48,21,0.4375,15,112.5,1.0,1.0,1.0,1.0
550.0,98.0,48,21,0.4375,20,150.0,1.0,1.0,1.0,1.0
550.0,98.0,48,21,0.4375,26,195.0,1.0,1.0,1.0,1.0
550.0,98.0,48,21,0.4375,31,232.5,1.0,0.5665968272972164,0.948611942532176,2.073331337922778
550.0,98.0,48,21,0.4375,36,270.0,1.0,0.034720143669560014,0.522442133093884,2.4408859622867407
550.0,98.0,48,21,0.4375,41,307.5,1.0,0.9961089494163424,0.9981355382619974,1.0038910505836576
550.0,98.0,48,21,0.4375,47,352.5,1.0,1.0,1.0,1.0
550.0,98.0,48,27,0.5625,0,0.0,1.0,1.0,1.0,1.0
550.0,98.0,48,27,0.5625,5,37.5,1.0,1.0,1.0,1.0
550.0,98.0,48,27,0.5625,10,75.0,0.9375,0.0008979347500748278,0.7260987229372442,2.5869500149655793
550.0,98.0,48,27,0.5625,15,112.5,1.0,0.38431607303202636,0.7038062456350394,1.97395989224783
550.0,98.0,48,27,0.5625,20,150.0,1.0,0.0870996707572583,0.6399094582460341,2.768033522897336
550.0,98.0,48,27,0.5625,26,195.0,1.0,1.0,1.0,1.0
550.0,98.0,48,27,0.5625,31,232.5,1.0,0.06704579467225381,0.5942519704679238,2.418736905118228
550.0,98.0,48,27,0.5625,36,270.0,1.0,0.029332535169111044,0.4042701785892447,4.627955701885663
550.0,98.0,48,27,0.5625,41,307.5,1.0,0.02454354983537863,0.48972987129601914,3.48608201137384
550.0,98.0,48,27,0.5625,47,352.5,1.0,1.0,1.0,1.0
550.0,98.0,48,32,0.6666666666666666,0,0.0,1.0,1.0,1.0,1.0
550.0,98.0,48,32,0.6666666666666666,5,37.5,1.0,1.0,1.0,1.0
550.0,98.0,48,32,0.6666666666666666,10,75.0,0.9375,0.08680035917390003,0.8471702584056668,2.3891050583657587
550.0,98.0,48,32,0.6666666666666666,15,112.5,1.0,1.0,1.0,1.0
550.0,98.0,48,32,0.6666666666666666,20,150.0,1.0,0.7348099371445675,0.8799074628354785,1.2786590841065548
550.0,98.0,48,32,0.6666666666666666,26,195.0,1.0,1.0,1.0,1.0
550.0,98.0,48,32,0.6666666666666666,31,232.5,1.0,1.0,1.0,1.0
550.0,98.0,48,32,0.6666666666666666,36,270.0,0.5,0.9712660879976055,0.4928165219994014,2.5103262496258605
550.0,98.0,48,32,0.6666666666666666,41,307.5,1.0,0.2155043400179587,0.9420520303302405,2.1122418437593535
550.0,98.0,48,32,0.6666666666666666,47,352.5,1.0,1.0,1.0,1.0
550.0,98.0,48,37,0.7708333333333334,0,0.0,1.0,1.0,1.0,1.0
550.0,98.0,48,37,0.7708333333333334,5,37.5,1.0,1.0,1.0,1.0
550.0,98.0,48,37,0.7708333333333334,10,75.0,1.0,0.9649805447470817,0.9835877481791879,1.0350194552529184
550.0,98.0,48,37,0.7708333333333334,15,112.5,1.0,1.0,1.0,1.0
550.0,98.0,48,37,0.7708333333333334,20,150.0,1.0,0.434899730619575,0.7626957996607803,2.10416043100868
550.0,98.0,48,37,0.7708333333333334,26,195.0,1.0,1.0,1.0,1.0
550.0,98.0,48,37,0.7708333333333334,31,232.5,1.0,1.0,1.0,1.0
550.0,98.0,48,37,0.7708333333333334,36,270.0,1.0,0.03771325950314277,0.5238888057467824,2.437892846453158
550.0,98.0,48,37,0.7708333333333334,41,307.5,1.0,0.3127806046093984,0.9387596029132994,2.0838072433403174
550.0,98.0,48,37,0.7708333333333334,47,352.5,1.0,1.0,1.0,1.0
550.0,98.0,48,42,0.875,0,0.0,1.0,1.0,1.0,1.0
550.0,98.0,48,42,0.875,5,37.5,1.0,1.0,1.0,1.0
550.0,98.0,48,42,0.875,10,75.0,1.0,1.0,1.0,1.0
550.0,98.0,48,42,0.875,15,112.5,1.0,1.0,1.0,1.0
550.0,98.0,48,42,0.875,20,150.0,1.0,1.0,1.0,1.0
550.0,98.0,48,42,0.875,26,195.0,1.0,1.0,1.0,1.0
550.0,98.0,48,42,0.875,31,232.5,1.0,1.0,1.0,1.0
550.0,98.0,48,42,0.875,36,270.0,1.0,0.0311284046692607,0.5257906814327048,2.445674947620473
550.0,98.0,48,42,0.875,41,307.5,1.0,1.0,1.0,1.0
550.0,98.0,48,42,0.875,47,352.5,1.0,1.0,1.0,1.0
550.0,98.0,48,48,1.0,0,0.0,1.0,1.0,1.0,1.0
550.0,98.0,48,48,1.0,5,37.5,1.0,1.0,1.0,1.0
550.0,98.0,48,48,1.0,10,75.0,1.0,1.0,1.0,1.0
550.0,98.0,48,48,1.0,15,112.5,1.0,1.0,1.0,1.0
550.0,98.0,48,48,1.0,20,150.0,1.0,1.0,1.0,1.0
550.0,98.0,48,48,1.0,26,195.0,1.0,1.0,1.0,1.0
550.0,98.0,48,48,1.0,31,232.5,1.0,1.0,1.0,1.0
550.0,98.0,48,48,1.0,36,270.0,1.0,0.0035917390002993114,0.5015713858126309,2.483687518706974
550.0,98.0,48,48,1.0,41,307.5,0.9583333333333334,0.8967375037413948,0.9540307293225582,2.1032624962586053
550.0,98.0,48,48,1.0,47,352.5,1.0,1.0,1.0,1.0
