alt [km],inc [deg],num sats,num planes,num planes [norm],phasing param,phasing [deg],max lcc [norm],max lcc frac,avg lcc [norm],avg num components
550.0,98.0,4,1,0.25,0,0.0,0.25,1.0,0.25,4.0
550.0,98.0,4,2,0.5,0,0.0,0.5,0.49895240945824604,0.3747381023645615,3.003292427416941
550.0,98.0,4,2,0.5,1,90.0,0.5,0.5723571672938762,0.393089291823469,2.8583646938077316
550.0,98.0,4,2,0.5,2,180.0,0.5,0.5001496557916791,0.3750374139479198,3.0035917390002993
550.0,98.0,4,2,0.5,3,270.0,0.5,0.5727490585415953,0.3931872646353988,2.857583019513865
550.0,98.0,4,3,0.75,0,0.0,1.0,0.28584256210715353,0.6429212810535768,2.4283148757856927
550.0,98.0,4,3,0.75,1,90.0,0.75,0.21340915893445075,0.5533522897336127,2.5695899431307994
550.0,98.0,4,3,0.75,2,180.0,0.75,0.28584256210715353,0.5714606405267884,2.7141574378928466
550.0,98.0,4,3,0.75,3,270.0,0.5,1.0,0.5,3.0
550.0,98.0,4,4,1.0,0,0.0,1.0,0.5340659340659341,0.6505494505494506,2.3978021978021977
550.0,98.0,4,4,1.0,1,90.0,0.5,0.5163124812930261,0.3790781203232565,3.483687518706974
550.0,98.0,4,4,1.0,2,180.0,0.5,0.3882182520521487,0.34705456301303717,3.2235634958957027
550.0,98.0,4,4,1.0,3,270.0,0.5,0.5163124812930261,0.3790781203232565,3.483687518706974
550.0,98.0,8,1,0.125,0,0.0,1.0,1.0,1.0,1.0
550.0,98.0,8,2,0.25,0,0.0,0.5,0.014666267584555522,0.2540032924274169,4.007782101167315
550.0,98.0,8,2,0.25,1,45.0,0.5,0.000299311583358276,0.25295570188566296,4.00868003591739
550.0,98.0,8,2,0.25,2,90.0,0.5,0.016761448668063453,0.25463932954205326,4.008979347500748
550.0,98.0,8,2,0.25,3,135.0,0.5,0.0038910505836575876,0.2538910505836576,4.0092786590841065
550.0,98.0,8,2,0.25,4,180.0,0.5,0.022149057168512423,0.2555372642921281,4.00868003591739
550.0,98.0,8,2,0.25,5,225.0,0.5,0.005387608500448967,0.2543026040107752,4.008380724334032
550.0,98.0,8,2,0.25,6,270.0,0.5,0.018258006584854835,0.25490122717749175,4.00868003591739
550.0,98.0,8,2,0.25,7,315.0,0.5,0.00149655791679138,0.25318018557318167,4.00868003591739
550.0,98.0,8,3,0.375,0,0.0,0.625,0.28584256210715353,0.35722837473810237,4.856629751571385
550.0,98.0,8,3,0.375,1,45.0,0.625,0.04310086800359174,0.38693504938641127,4.393295420532775
550.0,98.0,8,3,0.375,2,90.0,0.5,0.21460640526788385,0.3662077222388506,4.567794073630649
550.0,98.0,8,3,0.375,3,135.0,0.5,0.15354684226279558,0.32378030529781504,4.825501346902125
550.0,98.0,8,3,0.375,4,180.0,0.5,0.2861418736905118,0.321535468422628,4.856031128404669
550.0,98.0,8,3,0.375,5,225.0,0.5,0.044298114337024845,0.3503816222687818,4.393295420532775
550.0,98.0,8,3,0.375,6,270.0,0.625,0.000598623166716552,0.33971864711164323,4.5680933852140075
550.0,98.0,8,3,0.375,7,315.0,0.625,0.15474408859622868,0.35722837473810237,4.825501346902125
550.0,98.0,8,4,0.5,0,0.0,0.5,0.3636635737803053,0.29358724932654895,4.7880873989823405
550.0,98.0,8,4,0.5,1,45.0,0.5,0.00149655791679138,0.37511224184375935,4.004489673750374
550.0,98.0,8,4,0.5,2,90.0,0.25,0.5187069739598923,0.18983837174498652,6.00688416641724
550.0,98.0,8,4,0.5,3,135.0,0.5,0.000598623166716552,0.31857976653696496,4.920383118826699
550.0,98.0,8,4,0.5,4,180.0,0.5,0.363364262196947,0.29354983537862916,4.786590841065549
550.0,98.0,8,4,0.5,5,225.0,0.5,0.000598623166716552,0.375,4.004489673750374
550.0,98.0,8,4,0.5,6,270.0,0.25,0.5187069739598923,0.18983837174498652,6.00688416641724
550.0,98.0,8,4,0.5,7,315.0,0.5,0.00149655791679138,0.3197395989224783,4.920682430410057
550.0,98.0,8,5,0.625,0,0.0,1.0,0.45615085303801256,0.5921131397785094,3.1753965878479495
550.0,98.0,8,5,0.625,1,45.0,0.875,0.13259503142771625,0.6289658784794971,2.8605208021550435
550.0,98.0,8,5,0.625,2,90.0,0.625,0.2675845555222987,0.44545046393295423,3.5405567195450462
550.0,98.0,8,5,0.625,3,135.0,0.5,0.16252618976354385,0.36819066147859925,4.094283148757857
550.0,98.0,8,5,0.625,4,180.0,0.625,0.25561209218796765,0.39123765339718647,3.7075725830589645
550.0,98.0,8,5,0.625,5,225.0,0.5,0.25591140377132593,0.40698892547141574,3.683328344806944
550.0,98.0,8,5,0.625,6,270.0,0.625,0.22238850643519903,0.415631547440886,3.7339120023944927
550.0,98.0,8,5,0.625,7,315.0,0.625,0.19096079018258005,0.42939988027536663,3.8099371445674945
