routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.001,0.018,0.0,3119
__check_action_completion,0.001,0.023,0.0,3119
replanner/__get_new_requests,0.0,0.001,0.0,3119
replanner/__update_performed_requests,0.0,0.003,0.0,3119
replanner/_update_access_times,0.046,0.633,0.0,3119
replanner/update_percepts,0.177,0.694,0.001,3119
replanner/compile_external_plan_bids,0.0,0.0,0.0,3119
replanner/compile_new_measurement_request_bids,0.008,0.053,0.001,3119
replanner/check_request_completion,0.0,0.004,0.0,3119
replanner/check_request_end_time,0.0,0.005,0.0,3119
replanner/compare_bids,0.123,0.259,0.03,3119
replanner/consensus_phase,0.123,0.26,0.03,3119
replanner/needs_planning,0.594,0.577,0.404,3119
replanner/_get_available_requests,0.914,0.642,0.82,424
replanner/calc_imaging_time,0.208,0.367,0.045,2387
replanner/planning_phase,4.143,3.512,3.627,344
replanner/_schedule_measurements,0.049,0.083,0.009,884
replanner/_schedule_broadcasts,0.211,0.322,0.057,884
replanner/_schedule_maneuvers,0.44,0.55,0.227,884
replanner/_schedule_waits,0.0,0.0,0.0,884
replanner/_plan_from_path,0.705,0.733,0.432,884
replanner/generate_plan,2.823,2.921,1.955,884
