routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,1e-05,0.0,1e-05,1,1e-05
__check_action_completion,1e-05,0.0,1e-05,1,1e-05
update_action_completion,1e-05,0.0,1e-05,1,1e-05
preplanner/update_percepts,2e-05,0.0,2e-05,1,2e-05
preplanner/needs_planning,0.0,0.0,0.0,1,0.0
preplanner/calculate_access_opportunities,0.34315,0.0,0.34315,1,0.34315
preplanner/_schedule_observations,1.72938,0.0,1.72938,1,1.72938
preplanner/is_observation_path_valid,0.00241,0.0,0.00241,1,0.00241
preplanner/_create_broadcast_path,0.01795,0.0,0.01795,1,0.01795
preplanner/_schedule_broadcasts,0.59139,0.0,0.59139,1,0.59139
reward_grid/update,0.0,0.0,0.0,2,0.0
reward_grid/get_history,0.00206,0.0,0.00206,1,0.00206
