Contacts between Entity1 with id imaging_sat_1_0 with Entity2 with id imaging_sat_2_2
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
start index,end index
95,202
391,499
688,795
984,1092
1281,1388
1577,1685
1874,1981
2170,2278
2467,2574
2763,2871
3060,3167
3356,3464
3652,3760
3949,4057
4245,4320
