routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.0,0.0,20
__check_action_completion,0.0,0.0,0.0,20
replanner/__get_new_requests,0.0,0.0,0.0,20
replanner/__update_performed_requests,0.0,0.0,0.0,20
replanner/_update_access_times,0.005,0.021,0.0,20
replanner/check_request_completion,0.0,0.0,0.0,20
replanner/check_request_end_time,0.0,0.0,0.0,20
replanner/compare_bids,0.0,0.0,0.0,20
replanner/calc_imaging_time,0.045,0.04,0.045,12
replanner/calc_path_bid,0.132,0.081,0.121,6
replanner/planning_phase,1.595,3.013,0.047,5
replanner/_schedule_broadcasts,0.004,0.001,0.003,5
replanner/_schedule_maneuvers,0.042,0.03,0.044,5
