routine,t_avg,t_std,t_med,n
check_action_statuses,0.003,0.016,0.0,4389
update_state,0.0,0.0,0.0,4389
sense_environment,0.172,0.097,0.161,4388
update_state_environment,0.003,0.017,0.0,4388
get_environment_broadcasts,0.012,0.025,0.0,4388
get_agent_broadcasts,0.059,0.096,0.0,4388
sense,0.25,0.13,0.236,4388
think,0.428,0.37,0.38,4388
perform_broadcast,0.005,0.02,0.0,1416
do,0.155,0.14,0.121,4388
perform_wait_for_messages,0.146,0.151,0.096,2972
perform_state_change,0.133,0.125,0.095,1407
perform_observation,0.168,0.11,0.143,1407
