routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00233,0.0215,3e-05,12079,28.14407
__check_action_completion,0.00014,0.00032,9e-05,12079,1.6910599999999998
update_action_completion,0.00256,0.01859,0.00029,12079,30.922240000000002
get_plan_out,0.00627,0.02086,0.00033,12079,75.73533
preplanner/update_percepts,0.00167,0.01376,0.00012,12079,20.17193
preplanner/needs_planning,5e-05,0.00211,0.0,12079,0.60395
preplanner/calculate_access_opportunities,0.01081,0.0,0.01081,1,0.01081
preplanner/_schedule_observations,0.83075,0.0,0.83075,1,0.83075
preplanner/is_observation_path_valid,0.00073,0.0,0.00073,1,0.00073
preplanner/_create_broadcast_path,0.02564,0.0,0.02564,1,0.02564
preplanner/_schedule_broadcasts,0.36665,0.0,0.36665,1,0.36665
preplanner/_schedule_maneuvers,0.87026,0.0,0.87026,1,0.87026
preplanner/__schedule_periodic_replan,0.07671,0.0,0.07671,1,0.07671
preplanner/generate_plan,2.63547,0.0,2.63547,1,2.63547
replanner/needs_planning,2e-05,0.00095,0.0,12079,0.24158000000000002
reward_grid/update,0.00091,0.01021,1e-05,12080,10.9928
reward_grid/__get_target_indeces,0.00026,0.00618,1e-05,4443,1.1551799999999999
reward_grid/propagate_reward,0.00061,0.00813,3e-05,8886,5.420459999999999
reward_grid/update_observation,0.00229,0.01518,0.00014,4442,10.172179999999999
reward_grid/update_event,0.00047,0.0,0.00047,1,0.00047
reward_grid/get_history,0.01363,0.0,0.01363,1,0.01363
