routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.002,0.011,0.0,12080,25.814802757307916
update_state,0.001,0.006,0.0,12080,11.171660044819873
sense_environment,0.176,0.157,0.133,12079,2122.744875022727
update_state_environment,0.002,0.01,0.0,12079,20.56622610409613
get_environment_broadcasts,0.001,0.01,0.0,12079,14.667690955993749
get_agent_broadcasts,0.014,0.037,0.0,12079,169.51435750459132
sense,0.196,0.165,0.152,12079,2370.6580851701256
think,0.226,0.243,0.128,12079,2728.6736650369494
perform_broadcast,0.012,0.041,0.001,370,4.537112697977136
do,0.193,0.186,0.138,12079,2325.3148524689022
perform_wait_for_messages,0.193,0.187,0.137,11709,2257.5702055874317
perform_state_change,0.197,0.18,0.14,566,111.63981784700081
perform_observation,0.153,0.131,0.121,369,56.41272252899944
