t_msg,Sender,Message Type
0.0,therm_sat_2_2,PLAN
0.0,vis_sat_0_1,PLAN
0.0,sar_sat_0_0,PLAN
0.0,therm_sat_2_1,PLAN
0.0,vis_sat_0_0,PLAN
0.0,sar_sat_0_1,PLAN
0.0,therm_sat_0_0,PLAN
0.0,sar_sat_2_0,PLAN
0.0,vis_sat_2_1,PLAN
0.0,therm_sat_1_2,PLAN
0.0,therm_sat_0_1,PLAN
0.0,vis_sat_2_0,PLAN
0.0,sar_sat_1_1,PLAN
0.0,therm_sat_2_0,PLAN
0.0,therm_sat_0_2,PLAN
0.0,sar_sat_2_1,PLAN
0.0,vis_sat_1_1,PLAN
0.0,therm_sat_1_0,PLAN
0.0,therm_sat_1_1,PLAN
0.0,vis_sat_2_2,PLAN
0.0,vis_sat_1_0,PLAN
0.0,vis_sat_0_2,PLAN
0.0,sar_sat_1_0,PLAN
0.0,vis_sat_1_2,PLAN
10.0,vis_sat_2_2,OBSERVATION_PERFORMED
20.0,vis_sat_1_1,OBSERVATION_PERFORMED
50.0,sar_sat_0_1,OBSERVATION_PERFORMED
50.0,sar_sat_0_0,OBSERVATION_PERFORMED
60.0,sar_sat_2_1,OBSERVATION_PERFORMED
60.0,sar_sat_0_1,OBSERVATION_PERFORMED
80.0,vis_sat_2_2,OBSERVATION_PERFORMED
80.0,therm_sat_1_2,OBSERVATION_PERFORMED
80.0,vis_sat_1_0,OBSERVATION_PERFORMED
109.863,therm_sat_0_0,OBSERVATION_PERFORMED
109.863,sar_sat_0_0,OBSERVATION_PERFORMED
120.0,vis_sat_1_0,OBSERVATION_PERFORMED
130.0,therm_sat_2_0,OBSERVATION_PERFORMED
130.0,sar_sat_0_0,OBSERVATION_PERFORMED
130.0,vis_sat_2_0,OBSERVATION_PERFORMED
130.0,sar_sat_1_1,OBSERVATION_PERFORMED
140.0,sar_sat_0_0,OBSERVATION_PERFORMED
140.0,sar_sat_1_1,OBSERVATION_PERFORMED
150.0,therm_sat_1_2,OBSERVATION_PERFORMED
160.0,therm_sat_1_1,OBSERVATION_PERFORMED
160.0,therm_sat_1_2,OBSERVATION_PERFORMED
170.0,therm_sat_2_1,OBSERVATION_PERFORMED
180.0,sar_sat_1_0,OBSERVATION_PERFORMED
190.0,therm_sat_0_0,OBSERVATION_PERFORMED
200.0,vis_sat_1_2,OBSERVATION_PERFORMED
200.0,sar_sat_1_1,OBSERVATION_PERFORMED
220.0,sar_sat_2_1,OBSERVATION_PERFORMED
230.0,sar_sat_0_0,OBSERVATION_PERFORMED
230.0,therm_sat_0_1,OBSERVATION_PERFORMED
240.0,sar_sat_1_0,OBSERVATION_PERFORMED
250.0,vis_sat_1_2,OBSERVATION_PERFORMED
260.0,vis_sat_0_0,OBSERVATION_PERFORMED
279.458,sar_sat_0_0,OBSERVATION_PERFORMED
279.458,sar_sat_2_0,OBSERVATION_PERFORMED
279.458,sar_sat_2_1,OBSERVATION_PERFORMED
290.0,vis_sat_0_2,OBSERVATION_PERFORMED
310.0,sar_sat_2_1,OBSERVATION_PERFORMED
350.0,vis_sat_1_2,OBSERVATION_PERFORMED
370.0,vis_sat_0_0,OBSERVATION_PERFORMED
380.0,vis_sat_0_0,OBSERVATION_PERFORMED
389.877,vis_sat_1_0,OBSERVATION_PERFORMED
389.877,therm_sat_1_1,OBSERVATION_PERFORMED
389.877,vis_sat_2_0,OBSERVATION_PERFORMED
389.877,vis_sat_2_2,OBSERVATION_PERFORMED
400.0,therm_sat_0_0,OBSERVATION_PERFORMED
400.0,therm_sat_1_0,OBSERVATION_PERFORMED
420.0,vis_sat_0_2,OBSERVATION_PERFORMED
430.0,vis_sat_0_1,OBSERVATION_PERFORMED
460.0,therm_sat_1_1,OBSERVATION_PERFORMED
470.0,vis_sat_1_0,OBSERVATION_PERFORMED
470.0,vis_sat_2_2,OBSERVATION_PERFORMED
470.0,therm_sat_1_1,OBSERVATION_PERFORMED
480.0,therm_sat_2_0,OBSERVATION_PERFORMED
480.0,therm_sat_0_0,OBSERVATION_PERFORMED
490.0,therm_sat_1_1,OBSERVATION_PERFORMED
510.0,sar_sat_2_1,OBSERVATION_PERFORMED
510.0,vis_sat_2_0,OBSERVATION_PERFORMED
510.0,therm_sat_1_0,OBSERVATION_PERFORMED
520.0,sar_sat_1_0,OBSERVATION_PERFORMED
530.0,therm_sat_2_1,OBSERVATION_PERFORMED
550.0,sar_sat_2_0,OBSERVATION_PERFORMED
550.0,sar_sat_1_1,OBSERVATION_PERFORMED
550.0,vis_sat_0_2,OBSERVATION_PERFORMED
550.0,therm_sat_2_0,OBSERVATION_PERFORMED
560.0,sar_sat_0_1,OBSERVATION_PERFORMED
