routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,451
update_state,0.0,0.0,0.0,451
sense_environment,0.049,0.029,0.042,450
update_state_environment,0.0,0.0,0.0,450
get_environment_broadcasts,0.0,0.0,0.0,450
get_agent_broadcasts,0.0,0.0,0.0,450
sense,0.05,0.029,0.043,450
think,0.082,1.263,0.021,450
perform_state_change,0.063,0.046,0.067,1788
do,0.259,0.308,0.099,450
perform_measurement,0.015,0.01,0.012,70
perform_wait_for_messages,0.043,0.023,0.035,54
perform_broadcast,0.002,0.001,0.001,3
