name,for (deg),fov (deg),constellation ID,agility (deg/s),event_duration (s),num_events,event_clustering ID,event_clustering,num_planes,num_sats_per_plane,constellation ID alpha,num_meas_types,planner,reobserve_reward,reward,events,init_obs_count,replan_obs_count,oracle_obs_count,init_event_obs_count,init_events_seen_1+,init_events_seen_1,init_events_seen_2,init_events_seen_3,init_events_seen_4,init_event_reward,init_planner_reward,init_reobserve_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen_1+,replan_events_seen_1,replan_events_seen_2,replan_events_seen_3,replan_events_seen_4+,replan_event_reward,replan_planner_reward,replan_reobserve_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,oracle_event_obs_count,oracle_events_seen_1+,oracle_events_seen_1,oracle_events_seen_2,oracle_events_seen_3,oracle_events_seen_4+,oracle_event_reward,oracle_planner_reward,oracle_reobserve_reward,oracle_perc_cov,oracle_max_rev,oracle_avg_rev,oracle_all_perc_cov,oracle_all_max_rev,oracle_all_avg_rev,time,oracle_replan_reobs_diff,replan_init_diff_reobs,oracle_replan_diff_events,replan_init_diff_events,oracle_replan_diff_obs,replan_init_diff_obs,oracle_replan_reobs_diff,replan_init_diff_reobs_event_norm,oracle_replan_diff_events,replan_init_diff_events,oracle_replan_diff_obs,replan_init_diff_obs
updated_experiment_22,30,10,1,0.1,3600,10000,1,clustered,1,4,B,3,dp,2,10,10000,1793,3239,1594,78,72,66,6,0,0,78,780,78,0.0072,3597.8,1750,1,86400,79819.68686,151,86,31,49,3,3,151,1510,150,0.0086,3597.8,1387.674419,1,86400,77926.14804,93,86,79,7,0,0,93,930,93,0.0086,3597.8,1751.162791,1,86400,80413.85829,756.388401,-57,72,0,14,-58,73,-0.0057,0.92,0,0.0014,-0.0058,0.0073
updated_experiment_23,30,10,1,0.1,10800,1000,1,clustered,1,4,B,3,dp,2,10,1000,744,1424,663,69,56,47,7,0,2,69,690,69,0.056,10627.3,5059.285714,1,86400,64467.45793,139,64,16,36,6,6,139,1390,130,0.064,10627.3,3795.340909,1,86400,57781.16298,113,84,68,9,5,2,113,1130,109,0.084,10777.8,4955.357143,1,86400,66390.93585,179.8218567,-21,61,20,8,-26,70,-0.021,0.88,0.02,0.008,-0.026,0.07
updated_experiment_24,60,10,2,1,10800,1000,1,clustered,3,8,C,3,dp,2,10,1000,10253,12509,9994,1224,435,162,113,65,95,1224,12240,963,0.435,10786.61,3696.832131,1,86400,30590.33525,1564,452,135,105,63,149,1564,15640,1130,0.452,10786.61,3359.403746,1,86400,27818.21045,1666,512,130,147,92,143,1666,16660,1272,0.512,10786.61,3337.680403,1,86400,29726.77293,678.888303,142,167,60,17,102,340,0.142,0.17,0.06,0.017,0.102,0.34
updated_experiment_25,60,1,2,1,21600,1000,1,clustered,3,8,C,3,dp,2,10,1000,10997,13442,10767,2447,683,198,148,103,234,2447,24470,1739,0.683,21578.49,6578.093463,1,86400,20935.79213,3128,714,168,117,106,323,3128,31280,2012,0.714,21578.49,5907.394075,1,86400,15763.24551,3924,791,109,165,120,397,3924,39240,2387,0.791,21488.82,5294.26349,1,86400,19023.50773,687.9680481,375,273,77,31,796,681,0.375,0.16,0.077,0.031,0.796,0.681
updated_experiment_26,30,1,3,10,21600,10000,0,uniform,8,3,D,3,dp,2,10,10000,84079,107802,84079,18422,7544,2500,2867,1030,1147,18422,184220,15912,0.7544,21584.876,7572.49569,1,86400,18547.56635,23417,7701,1951,2512,991,2247,23417,234170,18936,0.7701,21576.897,6802.446338,1,86400,14631.42557,24933,8204,2033,3072,1229,1870,24933,249330,19344,0.8204,21574.433,6913.378849,1,86400,17327.56931,18360.24233,408,3024,503,157,1516,4995,0.0408,0.19,0.0503,0.0157,0.1516,0.4995
updated_experiment_27,30,5,3,10,900,10000,0,uniform,8,3,D,3,dp,2,10,10000,84002,100564,84002,806,748,690,58,0,0,806,8060,806,0.0748,899.265,438.368984,1,86400,18995.51911,972,772,593,164,9,6,972,9720,972,0.0772,899.265,413.4132124,1,86400,16825.18601,1089,958,829,127,2,0,1089,10890,1089,0.0958,898.308,429.6450939,1,86400,18881.59708,31394.14754,117,166,186,24,117,166,0.0117,0.21,0.0186,0.0024,0.0117,0.0166
updated_experiment_28,60,5,0,0.1,21600,1000,1,clustered,2,2,A,3,dp,2,10,1000,1138,2100,1024,265,207,156,45,5,1,265,2650,265,0.207,21581.1,9855.652174,1,86400,55618.59216,493,223,62,101,29,31,493,4930,475,0.223,21581.1,7516.335682,1,86400,46374.0437,381,264,174,74,9,7,381,3810,377,0.264,21581.1,9424.87013,1,86400,57602.28222,240.0823126,-98,210,41,16,-112,228,-0.098,0.79,0.041,0.016,-0.112,0.228
updated_experiment_29,60,10,0,1,900,10000,1,clustered,2,2,A,3,dp,2,10,10000,4150,5489,4104,38,32,26,6,0,0,38,380,38,0.0032,875.89,421.875,1,86400,76182.17536,52,34,19,13,1,1,52,520,52,0.0034,875.89,378.0882353,1,86400,75320.94043,51,45,40,4,1,0,51,510,51,0.0045,891.06,431.6666667,1,86400,75801.61432,1716.73914,-1,14,11,2,-1,14,-0.0001,0.37,0.0011,0.0002,-0.0001,0.0014
updated_experiment_30,60,10,1,1,900,10000,0,uniform,1,4,B,3,dp,2,10,10000,14028,17867,13609,147,145,143,2,0,0,147,1470,147,0.0145,891.73,447.9310345,1,86400,50944.21909,199,165,131,34,0,0,199,1990,199,0.0165,897.89,419.0909091,1,86400,47875.22577,284,281,278,3,0,0,284,2840,284,0.0281,897.89,448.3985765,1,86400,51306.4892,3718.93986,85,52,116,20,85,52,0.0085,0.35,0.0116,0.002,0.0085,0.0052
updated_experiment_31,60,1,2,1,3600,10000,0,uniform,3,8,C,3,dp,2,10,10000,83575,103833,76787,3350,2204,1406,562,154,82,3350,33500,3320,0.2204,3599.95,1542.557687,1,86400,17240.52278,4692,2403,1219,627,261,296,4692,46920,4440,0.2403,3599.95,1402.705418,1,86400,13308.74305,7473,3475,1344,1096,557,478,7473,74730,7119,0.3475,3598.09,1307.713949,1,86400,17282.90749,3636.177551,2679,1120,1072,199,2781,1342,0.2679,0.34,0.1072,0.0199,0.2781,0.1342
updated_experiment_32,60,1,2,10,10800,10000,0,uniform,3,8,C,3,dp,2,10,10000,109641,132456,109641,12869,5571,2336,1624,807,804,12869,128690,11221,0.5571,10799.476,3948.677963,1,86400,15923.61503,17095,5809,1966,1573,836,1434,17095,170950,13356,0.5809,10799.476,3595.184209,1,86400,11978.57897,24209,7002,1683,1968,1346,2005,24209,242090,17677,0.7002,10799.839,3257.893445,1,86400,13728.71575,4116.978382,4321,2135,1193,238,7114,4226,0.4321,0.19,0.1193,0.0238,0.7114,0.4226
updated_experiment_33,60,5,3,10,10800,1000,1,clustered,8,3,D,3,dp,2,10,1000,12002,14355,12002,1410,557,232,139,76,110,1410,14100,1178,0.557,10781.846,3846.145094,1,86400,23326.05279,1687,587,197,153,88,149,1687,16870,1363,0.587,10739.642,3585.947849,1,86400,19462.59857,2265,744,218,227,108,191,2265,22650,1760,0.744,10711.418,3479.19859,1,86400,21310.75549,763.053653,397,185,157,30,578,277,0.397,0.16,0.157,0.03,0.578,0.277
updated_experiment_34,60,5,3,0.1,21600,1000,1,clustered,8,3,D,3,dp,2,10,1000,7671,10342,6684,1737,665,223,194,108,140,1737,17370,1495,0.665,21547.2,7327.64727,1,86400,22439.85532,2491,700,174,175,109,242,2491,24910,1819,0.7,21562,6421.620132,1,86400,17873.56306,2644,751,179,161,140,271,2644,26440,2005,0.751,21587.1,6339.135201,1,86400,24221.66866,661.0119586,186,324,51,35,153,754,0.186,0.22,0.051,0.035,0.153,0.754
updated_experiment_35,60,10,0,1,10800,10000,0,uniform,2,2,A,3,dp,2,10,10000,13946,25493,12332,1635,1343,1090,221,27,5,1635,16350,1633,0.1343,10794.71,5036.993937,1,86400,51820.67025,3191,1686,724,620,193,149,3191,31910,3139,0.1686,10797.43,4133.566345,1,86400,39803.886,2836,2027,1350,576,76,25,2836,28360,2830,0.2027,10794.71,4746.34717,1,86400,53841.11179,4412.672659,-309,1506,341,343,-355,1556,-0.0309,0.92,0.0341,0.0343,-0.0355,0.1556
updated_experiment_36,60,10,0,1,21600,1000,0,uniform,2,2,A,3,dp,2,10,1000,2799,4580,2660,637,425,278,110,19,18,637,6370,627,0.425,21588.74,9335.919328,1,86400,35190.17275,1099,447,113,201,46,87,1099,10990,1001,0.447,21588.74,7258.854702,1,86400,25804.70365,788,462,264,132,32,34,788,7880,760,0.462,21588.74,8880.445269,1,86400,35388.39285,244.2930117,-241,374,15,22,-311,462,-0.241,0.60,0.015,0.022,-0.311,0.462
updated_experiment_37,60,1,1,10,21600,1000,0,uniform,1,4,B,3,dp,2,10,1000,3673,5687,3673,817,379,159,134,47,39,817,8170,724,0.379,21513.644,8074.631121,1,86400,28098.88852,1362,382,57,151,25,149,1362,13620,1030,0.382,21513.644,6190.090884,1,86400,20605.83754,883,385,155,134,52,44,883,8830,755,0.385,21513.644,7925.70209,1,86400,28135.5342,273.5439806,-275,306,3,3,-479,545,-0.275,0.42,0.003,0.003,-0.479,0.545
updated_experiment_38,60,1,1,10,900,1000,1,clustered,1,4,B,3,dp,2,10,1000,2016,2725,2016,26,26,26,0,0,0,26,260,26,0.026,885,450,1,86400,47296.30585,34,28,22,6,0,0,34,340,34,0.028,885,417.8571429,1,86400,42765.63372,47,47,47,0,0,0,47,470,47,0.047,885,450,1,86400,46922.58002,243.4790754,13,8,19,2,13,8,0.013,0.31,0.019,0.002,0.013,0.008
updated_experiment_39,60,1,2,0.1,900,1000,1,clustered,3,8,C,3,dp,2,10,1000,8286,10642,8073,74,65,56,9,0,0,74,740,74,0.065,899.2,429.2307692,1,86400,20143.10223,95,71,52,16,1,2,95,950,95,0.071,899.2,405.4225352,1,86400,16732.55793,163,145,127,18,0,0,163,1630,163,0.145,899.2,431.3793103,1,86400,20022.03031,786.4377871,68,21,74,6,68,21,0.068,0.28,0.074,0.006,0.068,0.021
updated_experiment_40,60,5,3,0.1,3600,10000,1,clustered,8,3,D,3,dp,2,10,10000,19844,33476,17444,803,709,624,76,9,0,803,8030,803,0.0709,3599.1,1724.25952,1,86400,55873.66686,1443,958,604,258,66,30,1443,14430,1438,0.0958,3599.1,1541.962422,1,86400,47258.20363,1956,1479,1099,301,61,18,1956,19560,1956,0.1479,3599.1,1627.626775,1,86400,56116.74187,809.9303589,518,635,521,249,513,640,0.0518,0.79,0.0521,0.0249,0.0513,0.064
updated_experiment_41,60,5,3,0.1,3600,10000,0,uniform,8,3,D,3,dp,2,10,10000,52854,73027,46915,2072,1840,1623,202,15,0,2072,20720,2072,0.184,3599.9,1726.793478,1,86400,23163.28955,3032,2154,1491,504,118,41,3032,30320,3017,0.2154,3599.9,1589.029049,1,86400,16741.72072,5279,3795,2661,862,206,66,5279,52790,5267,0.3795,3599.6,1595.717674,1,86400,24295.93946,3257.990003,2250,945,1641,314,2247,960,0.225,0.46,0.1641,0.0314,0.2247,0.096
updated_experiment_42,60,10,0,10,3600,1000,1,clustered,2,2,A,3,dp,2,10,1000,2009,3322,2009,74,62,50,12,0,0,74,740,74,0.062,3573.138,1683.870968,1,86400,49817.41229,120,68,33,25,3,7,120,1200,120,0.068,3599.549,1428.529412,1,86400,42294.55634,102,86,70,16,0,0,102,1020,102,0.086,3585.483,1688.372093,1,86400,49375.24015,482.2637076,-18,46,18,6,-18,46,-0.018,0.62,0.018,0.006,-0.018,0.046
updated_experiment_43,60,1,0,10,3600,10000,1,clustered,2,2,A,3,dp,2,10,10000,4129,7460,4129,171,162,153,9,0,0,171,1710,171,0.0162,3599.888,1766.666667,1,86400,75529.88588,327,208,105,92,6,5,327,3270,327,0.0208,3599.888,1482.692308,1,86400,70528.82288,997,907,817,90,0,0,997,9970,997,0.0907,3599.888,1740.463065,1,86400,73696.87699,3943.070055,670,156,699,46,670,156,0.067,0.91,0.0699,0.0046,0.067,0.0156
updated_experiment_44,60,1,1,0.1,10800,10000,1,clustered,1,4,B,3,dp,2,10,10000,3046,5827,2679,348,316,285,30,1,0,348,3480,348,0.0316,10792.1,5220.56962,1,86400,75774.024,796,396,156,147,54,39,796,7960,768,0.0396,10792.1,4022.54329,1,86400,70946.29392,1116,779,539,181,35,24,1116,11160,1102,0.0779,10786,4754.568128,1,86400,77252.0786,1921.405446,334,420,383,80,320,448,0.0334,1.21,0.0383,0.008,0.032,0.0448
updated_experiment_45,60,1,1,0.1,10800,10000,0,uniform,1,4,B,3,dp,2,10,10000,8863,16397,7636,1211,974,791,139,37,7,1211,12110,1208,0.0974,10798.7,5016.160164,1,86400,58989.55718,2526,1187,465,412,159,151,2526,25260,2370,0.1187,10798.7,3965.968656,1,86400,48555.23025,2205,1405,871,391,79,64,2205,22050,2146,0.1405,10799.9,4586.543976,1,86400,62733.08512,3195.580906,-224,1162,218,213,-321,1315,-0.0224,0.96,0.0218,0.0213,-0.0321,0.1315
updated_experiment_46,60,5,2,0.1,21600,1000,0,uniform,3,8,C,3,dp,2,10,1000,12312,14830,11329,2796,817,185,188,155,289,2796,27960,2182,0.817,21579.8,6311.786288,1,86400,12763.80125,3472,823,159,162,139,363,3472,34720,2352,0.823,21383.3,5786.035265,1,86400,11101.25518,3815,849,121,177,148,403,3815,38150,2531,0.849,21477,5463.911922,1,86400,13291.64943,860.9256635,179,170,26,6,343,676,0.179,0.08,0.026,0.006,0.343,0.676
updated_experiment_47,60,5,2,1,900,1000,0,uniform,3,8,C,3,dp,2,10,1000,16818,20126,16770,198,179,160,19,0,0,198,1980,198,0.179,895.76,434.0782123,1,86400,10091.62066,242,187,138,45,2,2,242,2420,242,0.187,895.76,408.6096257,1,86400,9112.663805,255,217,180,36,1,0,255,2550,255,0.217,895.76,424.078341,1,86400,10100.21404,912.7535372,13,44,30,8,13,44,0.013,0.22,0.03,0.008,0.013,0.044
updated_experiment_48,60,10,3,1,900,1000,0,uniform,8,3,D,3,dp,2,10,1000,17377,20597,17315,179,157,137,19,0,1,179,1790,179,0.157,897.06,430.1273885,1,86400,9991.903836,201,159,123,33,0,3,201,2010,201,0.159,897.06,413.7735849,1,86400,8943.067696,220,185,154,28,2,1,220,2200,220,0.185,897.06,423.4054054,1,86400,9985.479211,999.42132,19,22,26,2,19,22,0.019,0.12,0.026,0.002,0.019,0.022
