routine,t_avg,t_std,t_med,n
sar_sat_1_1,0.125,0.4,0.045,10879
therm_sat_0_1,0.123,0.384,0.044,11275
vis_sat_1_0,0.127,0.377,0.046,10987
therm_sat_1_2,0.124,0.398,0.045,10876
vis_sat_0_2,0.121,0.375,0.044,11197
sar_sat_0_0,0.128,0.415,0.044,11248
sar_sat_0_1,0.138,0.429,0.044,11224
vis_sat_1_1,0.123,0.367,0.045,10970
vis_sat_0_1,0.125,0.41,0.044,10963
therm_sat_0_2,0.126,0.411,0.044,10976
sar_sat_1_0,0.128,0.415,0.045,10881
vis_sat_0_0,0.124,0.392,0.044,11194
therm_sat_1_1,0.121,0.38,0.045,10837
vis_sat_1_2,0.132,0.391,0.045,11033
therm_sat_0_0,0.126,0.414,0.044,10966
therm_sat_1_0,0.123,0.38,0.045,10859
query_measurement_data,0.015,0.047,0.009,17068
