Datametrics file based on GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,pnt-opt index,lat [deg],lon [deg],observation range [km],look angle [deg],incidence angle [deg],solar zenith [deg]
3,3048,,-32.947,120.816,698.2,21.61,23.92,53.06
3,3273,,-33.006,120.698,699.3,21.81,24.15,53.15
4,2056,,-32.348,120.652,713.5,24.31,26.95,53.22
4,3048,,-32.947,120.816,691.2,20.37,22.53,53.02
4,3273,,-33.006,120.698,693.5,20.81,23.03,53.11
4,3568,,-32.336,120.748,711.0,23.9,26.49,53.14
4,4430,,-32.335,120.515,718.4,25.06,27.79,53.34
4,4563,,-32.435,120.581,712.9,24.21,26.84,53.27
5,1065,,-32.44,121.877,671.1,15.84,17.49,52.15
5,2056,,-32.348,120.652,708.1,23.53,26.07,53.18
5,2707,,-31.962,121.764,686.7,19.54,21.6,52.29
5,3048,,-32.947,120.816,691.3,20.49,22.66,52.99
5,3273,,-33.006,120.698,694.8,21.15,23.41,53.08
5,3568,,-32.336,120.748,705.0,23.0,25.48,53.1
5,4430,,-32.335,120.515,713.5,24.39,27.04,53.3
5,4563,,-32.435,120.581,708.7,23.62,26.17,53.23
6,238,,-31.823,121.869,679.7,18.09,19.99,52.18
6,342,,-31.21,121.777,700.4,22.28,24.66,52.32
6,1065,,-32.44,121.877,668.2,15.16,16.73,52.11
6,2056,,-32.348,120.652,709.7,23.86,26.44,53.15
6,2707,,-31.962,121.764,679.2,17.98,19.86,52.25
6,3226,,-31.547,122.287,677.9,17.69,19.54,51.85
6,3568,,-32.336,120.748,706.1,23.26,25.77,53.07
6,4295,,-31.382,121.602,699.2,22.07,24.44,52.45
6,4430,,-32.335,120.515,715.5,24.78,27.47,53.27
6,4563,,-32.435,120.581,711.5,24.15,26.77,53.2
7,238,,-31.823,121.869,677.4,17.67,19.51,52.14
7,342,,-31.21,121.777,692.0,20.81,23.02,52.29
7,927,,-31.185,122.223,680.5,18.38,20.31,51.91
7,1065,,-32.44,121.877,672.7,16.5,18.21,52.08
7,2707,,-31.962,121.764,678.9,18.02,19.9,52.22
7,2992,,-30.697,121.965,702.0,22.65,25.08,52.18
7,3226,,-31.547,122.287,670.7,15.98,17.64,51.82
7,4295,,-31.382,121.602,693.5,21.1,23.34,52.42
8,238,,-31.823,121.869,682.3,18.91,20.89,52.11
8,342,,-31.21,121.777,690.8,20.65,22.84,52.25
8,591,,-29.731,121.556,740.3,28.37,31.53,52.62
8,927,,-31.185,122.223,676.9,17.66,19.5,51.87
8,928,,-30.615,122.102,692.3,20.96,23.18,52.04
8,1765,,-29.956,121.202,745.1,28.96,32.2,52.89
8,2389,,-30.256,122.706,687.2,19.95,22.05,51.56
8,2992,,-30.697,121.965,694.5,21.38,23.65,52.15
8,3226,,-31.547,122.287,670.8,16.13,17.81,51.78
8,4295,,-31.382,121.602,694.8,21.44,23.72,52.38
9,591,,-29.731,121.556,731.8,27.33,30.35,52.58
9,927,,-31.185,122.223,680.6,18.62,20.57,51.84
9,928,,-30.615,122.102,690.3,20.67,22.86,52.0
9,977,,-29.494,122.222,715.6,25.01,27.73,52.04
9,1427,,-30.001,122.341,695.6,21.67,23.98,51.87
9,1765,,-29.956,121.202,740.4,28.45,31.62,52.86
9,2389,,-30.256,122.706,678.7,18.19,20.09,51.53
9,2735,,-30.159,122.54,685.6,19.7,21.77,51.68
9,2992,,-30.697,121.965,694.0,21.37,23.65,52.11
9,4140,,-29.603,122.41,705.9,23.47,25.99,51.86
9,4644,,-30.096,122.463,689.4,20.48,22.65,51.76
10,253,,-29.377,122.698,695.5,21.74,24.06,51.61
10,591,,-29.731,121.556,730.0,27.16,30.15,52.55
10,977,,-29.494,122.222,708.4,23.96,26.55,52.0
10,1427,,-30.001,122.341,693.2,21.3,23.56,51.84
10,1765,,-29.956,121.202,742.4,28.75,31.96,52.82
10,2389,,-30.256,122.706,677.3,17.98,19.85,51.49
10,2735,,-30.159,122.54,683.9,19.44,21.49,51.65
10,4140,,-29.603,122.41,698.9,22.36,24.74,51.83
10,4644,,-30.096,122.463,687.4,20.17,22.3,51.72
11,253,,-29.377,122.698,691.9,21.15,23.39,51.57
11,977,,-29.494,122.222,708.1,23.99,26.58,51.97
11,1427,,-30.001,122.341,697.8,22.24,24.61,51.8
11,4140,,-29.603,122.41,699.0,22.45,24.85,51.79
11,4644,,-30.096,122.463,692.6,21.27,23.53,51.68
12,253,,-29.377,122.698,695.4,21.89,24.22,51.53
12,836,,-28.79,124.485,655.2,11.77,12.97,50.06
12,2644,,-28.21,121.91,751.1,29.91,33.28,52.38
13,836,,-28.79,124.485,651.6,10.5,11.56,50.02
13,1729,,-27.977,124.465,665.4,15.24,16.81,50.14
13,1886,,-29.09,126.581,647.1,-8.33,9.17,48.17
13,2644,,-28.21,121.91,752.5,30.14,33.53,52.34
14,836,,-28.79,124.485,655.6,12.23,13.48,49.99
14,921,,-26.694,123.21,732.4,27.72,30.78,51.4
14,1729,,-27.977,124.465,660.2,13.8,15.21,50.11
14,1852,,-26.925,123.336,719.6,25.95,28.78,51.25
14,1886,,-29.09,126.581,645.4,-7.55,8.31,48.13
15,921,,-26.694,123.21,726.4,26.98,29.94,51.36
15,1729,,-27.977,124.465,662.5,14.62,16.13,50.07
15,1852,,-26.925,123.336,715.4,25.4,28.15,51.21
15,1886,,-29.09,126.581,651.3,-10.68,11.76,48.09
16,921,,-26.694,123.21,727.2,27.15,30.13,51.33
16,1852,,-26.925,123.336,718.0,25.86,28.67,51.18
16,2859,,-26.819,126.048,644.8,7.69,8.46,48.8
17,2859,,-26.819,126.048,641.8,5.9,6.5,48.76
18,2859,,-26.819,126.048,646.5,9.01,9.92,48.73
22,294,,-24.848,131.023,718.6,-26.29,29.15,44.42
22,893,,-24.402,130.19,679.4,-19.51,21.55,45.24
22,1987,,-24.206,128.81,642.6,-7.66,8.42,46.51
23,294,,-24.848,131.023,717.3,-26.16,29.0,44.39
23,893,,-24.402,130.19,676.2,-18.9,20.87,45.2
23,966,,-23.502,128.99,641.5,-7.18,7.9,46.43
23,1987,,-24.206,128.81,642.9,-7.99,8.79,46.48
24,294,,-24.848,131.023,722.9,-27.0,29.95,44.35
24,893,,-24.402,130.19,680.4,-19.88,21.96,45.17
24,966,,-23.502,128.99,640.3,-6.59,7.25,46.4
25,966,,-23.502,128.99,646.9,-10.31,11.35,46.36
27,1343,,-20.215,127.452,675.8,19.11,21.09,48.35
28,1343,,-20.215,127.452,673.4,18.63,20.56,48.31
29,1343,,-20.215,127.452,678.2,19.76,21.82,48.27
34,210,,-16.118,128.741,690.2,22.36,24.72,47.96
34,1201,,-15.324,128.064,744.3,30.12,33.48,48.82
34,3559,,-15.569,127.969,739.8,29.58,32.87,48.83
34,4693,,-15.508,128.117,735.0,29.01,32.21,48.72
34,4940,,-15.559,127.9,743.4,30.02,33.36,48.9
35,210,,-16.118,128.741,687.3,21.88,24.18,47.93
35,1201,,-15.324,128.064,736.1,29.17,32.39,48.78
35,3559,,-15.569,127.969,734.4,28.96,32.16,48.8
35,4693,,-15.508,128.117,728.4,28.2,31.29,48.68
35,4940,,-15.559,127.9,738.2,29.43,32.69,48.86
36,210,,-16.118,128.741,691.5,22.7,25.1,47.89
36,1201,,-15.324,128.064,734.4,29.0,32.2,48.74
36,3559,,-15.569,127.969,735.7,29.15,32.38,48.76
36,4693,,-15.508,128.117,728.5,28.25,31.34,48.64
36,4940,,-15.559,127.9,739.7,29.64,32.93,48.82
40,2851,,-14.934,135.399,740.6,-29.87,33.19,41.96
40,4877,,-14.644,135.234,727.5,-28.25,31.35,42.2
41,2851,,-14.934,135.399,741.1,-29.96,33.29,41.92
41,4877,,-14.644,135.234,725.5,-28.02,31.09,42.17
42,4877,,-14.644,135.234,730.4,-28.68,31.83,42.13
57,1254,,-3.955,136.366,637.2,-8.6,9.46,44.86
57,4510,,-3.68,134.891,640.1,10.06,11.06,46.28
57,4705,,-4.04,136.273,635.1,-7.4,8.13,44.9
58,1254,,-3.955,136.366,632.7,-5.71,6.28,44.83
58,4510,,-3.68,134.891,638.6,9.37,10.31,46.25
58,4705,,-4.04,136.273,632.1,-5.16,5.67,44.87
59,1254,,-3.955,136.366,636.1,-8.03,8.83,44.79
59,4510,,-3.68,134.891,644.9,12.07,13.28,46.21
59,4705,,-4.04,136.273,636.9,-8.48,9.32,44.83
61,1253,,-1.816,137.882,652.6,-14.69,16.18,44.5
62,1253,,-1.816,137.882,647.0,-12.86,14.15,44.46
63,1253,,-1.816,137.882,649.0,-13.55,14.92,44.43
178,2668,,62.527,176.648,760.3,25.96,28.96,85.63
179,2668,,62.527,176.648,754.9,25.09,27.97,85.63
179,4319,,63.334,176.648,793.4,29.88,33.44,86.43
180,2132,,62.453,179.089,720.2,19.08,21.2,85.64
180,2668,,62.527,176.648,755.9,25.11,28.0,85.63
180,4095,,62.631,179.477,723.9,19.81,22.02,85.83
180,4319,,63.334,176.648,788.7,29.27,32.74,86.43
181,2132,,62.453,179.089,719.0,18.67,20.73,85.64
181,4095,,62.631,179.477,719.8,18.84,20.92,85.83
181,4319,,63.334,176.648,790.2,29.34,32.82,86.44
182,2132,,62.453,179.089,724.5,19.63,21.82,85.64
182,4095,,62.631,179.477,722.5,19.23,21.37,85.84
190,1060,,60.982,-163.839,798.8,-29.44,32.97,86.14
190,1276,,60.861,-163.939,803.4,-29.94,33.54,86.01
190,1550,,60.874,-164.089,800.3,-29.61,33.17,85.99
190,2007,,61.584,-163.911,769.9,-25.92,28.94,86.68
190,2301,,62.11,-164.706,738.2,-21.03,23.41,87.04
