routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.0,0.002,0.0,1160,0.29360023799745255
update_state,0.0,0.0,0.0,1160,0.13302233098329452
sense_environment,0.028,0.018,0.025,1159,32.78665141300553
update_state_environment,0.0,0.001,0.0,1159,0.16131550805039296
get_environment_broadcasts,0.001,0.003,0.0,1159,0.6429942340055277
get_agent_broadcasts,0.008,0.022,0.0,1159,8.928486192986384
sense,0.037,0.025,0.031,1159,43.05339546100913
think,0.041,0.04,0.03,1159,47.49262944103066
perform_broadcast,0.002,0.003,0.0,75,0.12520849398970313
do,0.04,0.033,0.032,1159,46.26130032201217
perform_wait_for_messages,0.043,0.033,0.035,1046,45.259200372016494
perform_state_change,0.036,0.027,0.027,55,2.000805898993349
perform_observation,0.014,0.01,0.009,51,0.6995424149972678
